countries,Year,Territorial GHG emissions [t],Residential GHG emissions [t],Transfer GHG emissions [t],Footprint GHG emissions [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t],External costs (Territorial & Low GHG with VOLY) scenario [Euro],External costs (Territorial & Low GHG with VSL) scenario [Euro],External costs (Territorial & Central GHG with VOLY) scenario [Euro],External costs (Territorial & Central GHG with VSL) scenario [Euro],External costs (Territorial & High GHG with VOLY) scenario [Euro],External costs (Territorial & High GHG with VSL) scenario [Euro],External costs (Residential & Low GHG with VOLY) scenario [Euro],External costs (Residential & Low GHG with VSL) scenario [Euro],External costs (Residential & Central GHG with VOLY) scenario [Euro],External costs (Residential & Central GHG with VSL) scenario [Euro],External costs (Residential & High GHG with VOLY) scenario [Euro],External costs (Residential & High GHG with VSL) scenario [Euro],External costs (Footprint & Low GHG with VOLY) scenario [Euro],External costs (Footprint & Low GHG with VSL) scenario [Euro],External costs (Footprint & Central GHG with VOLY) scenario [Euro],External costs (Footprint & Central GHG with VSL) scenario [Euro],External costs (Footprint & High GHG with VOLY) scenario [Euro],External costs (Footprint & High GHG with VSL) scenario [Euro],GDP [EURO]
France,1998,525149620.0,,-95932400.0,,1343327.3,59934884.0,17.0,1017.0,1913515.0,813492.0,655924.0,420441.0,528319.0,2311593.0,15.0,14.0,160.0,211.0,199069025761.0,483425703140.0,221125309801.0,505481987180.0,441163000581.0,725519677960.0,,,,,,,,,,,,,1343327300000.0
Croatia,1998,17319360.0,,-1464000.0,,22931.7,4536812.0,1.0,183.0,89330.0,95467.0,36672.0,40388.0,57831.0,108412.0,1.0,0.0,4.0,14.0,16112398285.0,37894092043.0,16839811405.0,38621505163.0,24096623245.0,45878317003.0,,,,,,,,,,,,,22931700000.0
Hungary,1998,73567180.0,80550328.21,-9886800.0,90437128.21,43408.6,10279724.0,3.0,93.0,197013.0,565269.0,82313.0,49749.0,70664.0,189014.0,2.0,2.0,12.0,19.0,35553156450.0,97634371453.0,38642978010.0,100724193013.0,69467626430.0,131548841433.0,35993094787.229996,98074309790.23,39376208572.05,101457423575.05,73126796092.04,135208011095.04,36615963187.229996,98697178190.23,40414322572.05,102495537575.05,78307479292.04,140388694295.03998,43408600000.0
Ireland,1998,71924930.0,,-8354200.000000001,,80565.7,3693386.0,2.0,62.0,178391.0,179898.0,128427.0,21737.0,39820.0,141272.0,1.0,0.0,6.0,31.0,15200883644.0,30770002162.0,18221730704.0,33790849222.0,48358276374.0,63927394892.0,,,,,,,,,,,,,80565700000.0
Italy,1998,536008620.0,,-83747100.0,,1134534.9,56904379.0,27.0,1601.0,1723442.0,1003861.0,459032.0,223156.0,325752.0,1867811.0,10.0,14.0,54.0,104.0,258477842183.0,698543103934.0,280990204223.0,721055465974.0,505577816003.0,945643077754.0,,,,,,,,,,,,,1134534900000.0
Lithuania,1998,16073570.0,,-6219800.0,,10025.7,3562261.0,0.0,4.0,80434.0,91175.0,39449.0,7960.0,9836.0,80043.0,0.0,0.0,2.0,15.0,2796936224.0,6717617335.0,3472026164.0,7392707275.0,10206851994.0,14127533105.0,,,,,,,,,,,,,10025700000.0
Latvia,1998,-682330.0,,-5135500.0,,6402.4,2420789.0,14.0,155.0,46403.0,39849.0,14580.0,28952.0,33710.0,57300.0,1.0,0.0,2.0,10.0,7361222432.0,12680818523.0,7332564572.0,12652160663.0,7046668302.0,12366264393.0,,,,,,,,,,,,,6402400000.0
Malta,1998,2783630.0,3037749.11,-2237900.0,5275649.109999999,3581.8,384176.0,0.0,1.0,8656.0,10854.0,2095.0,782.0,1207.0,5524.0,0.0,0.0,0.0,6.0,439248740.0,886580157.0,556161200.0,1003492617.0,1722502170.0,2169833587.0,455258243.92999995,902589660.93,582843706.55,1030175123.55,1855660583.6399999,2302992000.64,596245943.93,1043577360.93,817823206.55,1265154623.55,3028320183.64,3475651600.64,3581800000.0
Netherlands,1998,240048290.0,253830606.57,-40226900.0,294057506.57,391460.9,15654192.0,1.0,43.0,521895.0,101382.0,197013.0,36787.0,51130.0,377516.0,3.0,1.0,6.0,43.0,47811973854.0,117325546413.0,57894002034.0,127407574593.0,158474235544.0,227987808103.0,48680259797.91,118193832356.91,59341145273.85,128854717832.85,165696169426.68,235209741985.68,51214554497.91,120728127056.91,63564969773.85,133078542332.85,186775065026.68,256288637585.68,391460900000.0
Norway,1998,39266020.0,,,,137455.3,4417599.0,4.0,14.0,234610.0,29783.0,30139.0,43540.0,54397.0,395457.0,1.0,1.0,12.0,0.0,6512177146.941176,12840146963.941177,8161349986.941176,14489319803.941177,24613812366.941177,30941782183.941177,,,,,,,,,,,,,137455300000.0
Poland,1998,379075860.0,,42338900.0,,155011.6,38659979.0,36.0,480.0,959791.0,1702940.0,365756.0,351646.0,487106.0,861338.0,11.0,12.0,47.0,143.0,112797866075.0,255562351415.0,128719052195.0,271483537535.0,287551837535.0,430316322875.0,,,,,,,,,,,,,155011600000.0
Portugal,1998,65526510.0,76265954.43,-21772400.0,98038354.43,110683.7,10133758.0,4.0,339.0,294129.0,321962.0,68103.0,72783.0,150932.0,238590.0,3.0,3.0,14.0,126.0,34082808055.0,78682481898.0,36834921475.0,81434595318.0,64290529165.0,108890203008.0,34759393054.09,79359066897.09,37962563140.15,82562236983.15,69917998046.32,114517671889.32,36131054254.09,80730728097.09,40248665140.15,84848338983.15,81326735646.32,125926409489.32,110683700000.0
Romania,1998,134874030.0,,16663900.000000002,,37063.3,22526093.0,27.0,265.0,354237.0,494464.0,196268.0,117245.0,152795.0,319045.0,4.0,2.0,20.0,55.0,51174723118.0,125182850179.0,56839432378.0,130847559439.0,113351650948.0,187359778009.0,,,,,,,,,,,,,37063300000.0
Sweden,1998,26133260.0,,-28975400.0,,241468.1,8847625.0,1.0,24.0,231759.0,56456.0,61876.0,36335.0,55851.0,241092.0,1.0,1.0,8.0,24.0,5951212331.0,13311660812.0,7048809251.0,14409257732.0,17998645191.0,25359093672.0,,,,,,,,,,,,,241468100000.0
Slovenia,1998,13536550.0,,-2975400.0,,19784.6,1984923.0,1.0,10.0,68371.0,110166.0,21386.0,14023.0,17504.0,58403.0,1.0,0.0,2.0,3.0,9753644354.0,29236174067.0,10322179454.0,29804709167.0,15993993904.0,35476523617.0,,,,,,,,,,,,,19784600000.0
Slovakia,1998,41933920.0,52220508.55,-4667400.0,56887908.55,20333.8,5387650.0,2.0,49.0,112177.0,117803.0,34685.0,41997.0,53583.0,151765.0,1.0,1.0,4.0,3.0,16053937875.0,39667932183.0,17815162515.0,41429156823.0,35385474995.0,58999469303.0,16701992953.65,40315987261.65,18895254312.75,42509248620.75,40775647395.2,64389641703.2,16996039153.65,40610033461.65,19385331312.75,42999325620.75,43221364995.2,66835359303.2,20333800000.0
Belgium,1999,145625100.0,,-63191400.0,,242307.6,10213752.0,5.0,174.0,356689.0,173353.0,134397.0,40107.0,55203.0,260392.0,2.0,3.0,28.0,53.0,50408061024.0,129902838783.0,56524315224.0,136019092983.0,117541232124.0,197036009883.0,,,,,,,,,,,,,242307600000.0
Bulgaria,1999,42521860.0,,4769200.0,,12804.4,8230371.0,12.0,215.0,157721.0,1090448.0,45896.0,31510.0,54111.0,119779.0,6.0,2.0,14.0,31.0,35731168504.0,91467645119.0,37517086624.0,93253563239.0,55333745964.0,111070222579.0,,,,,,,,,,,,,12804400000.0
Cyprus,1999,7922450.0,,-1535000.0,,9839.8,682862.0,0.0,23.0,22311.0,49575.0,6720.0,2479.0,4528.0,13871.0,0.0,0.0,0.0,10.0,2104862782.0,2861139606.0,2437605682.0,3193882506.0,5757112232.0,6513389056.0,,,,,,,,,,,,,9839800000.0
Czechia,1999,134000800.0,,6338600.0,,61082.9,10289621.0,5.0,227.0,303079.0,231871.0,82890.0,52057.0,72763.0,327986.0,2.0,3.0,11.0,16.0,39173629459.0,89385993941.0,44801663059.0,95014027541.0,100947998259.0,151160362741.0,,,,,,,,,,,,,61082900000.0
Germany,1999,1023116400.0,,-194244300.0,,2059480.0,82037011.0,8.0,354.0,1944101.0,797967.0,628823.0,173797.0,317523.0,1982069.0,18.0,18.0,83.0,177.0,196955186025.0,487688579831.0,239926074825.0,530659468631.0,668611846425.0,959345240231.0,,,,,,,,,,,,,2059480000000.0
Denmark,1999,81770440.0,94510753.7,-10783200.0,105293953.7,166972.1,5313577.0,1.0,34.0,230753.0,59622.0,106424.0,19807.0,31299.0,183273.0,1.0,1.0,2.0,9.0,11808127285.0,23524724641.0,15242485765.0,26959083121.0,49504300125.0,61220897481.0,12610767048.1,24327364404.1,16580218703.5,28296816059.5,56180224503.8,67896821859.8,13290108648.1,25006706004.1,17712454703.5,29429052059.5,61830621303.8,73547218659.8,166972100000.0
Estonia,1999,13933500.0,,-3846100.0,,5406.9,1379237.0,7.0,33.0,45154.0,99387.0,7737.0,11535.0,29927.0,35805.0,1.0,0.0,7.0,8.0,2861172848.0,4194285332.0,3446379848.0,4779492332.0,9284516348.0,10617628832.0,,,,,,,,,,,,,5406900000.0
Greece,1999,120285730.0,,-5540500.0,,139945.1,10747768.0,3.0,359.0,444661.0,508629.0,79360.0,71012.0,97876.0,318927.0,9.0,2.0,7.0,58.0,37330068758.0,75444043534.0,42382069418.0,80496044194.0,92781790288.0,130895765064.0,,,,,,,,,,,,,139945100000.0
Spain,1999,326925700.0,,-17481400.0,,595723.0,40303568.0,10.0,405.0,1327184.0,1509310.0,550625.0,182997.0,288923.0,926831.0,21.0,11.0,33.0,203.0,117747587953.0,293172917533.0,131478467353.0,306903796933.0,268460335653.0,443885665233.0,,,,,,,,,,,,,595723000000.0
Finland,1999,47287640.0,,-15313200.0,,126916.0,5159646.0,5.0,34.0,252916.0,91836.0,38969.0,28356.0,45668.0,185992.0,2.0,1.0,31.0,37.0,7567942500.0,14310313593.0,9554023380.0,16296394473.0,29367544540.0,36109915633.0,,,,,,,,,,,,,126916000000.0
France,1999,515468390.0,,-100819300.0,,1400999.0,60158533.0,16.0,787.0,1875454.0,715792.0,654831.0,401494.0,509020.0,2237346.0,14.0,13.0,131.0,204.0,184318966678.0,454676375600.0,205968639058.0,476326047980.0,421949894468.0,692307303390.0,,,,,,,,,,,,,1400999000000.0
Croatia,1999,17812140.0,,-1959300.0,,22183.0,4527460.0,2.0,178.0,92603.0,95366.0,38686.0,39332.0,54125.0,106616.0,1.0,0.0,5.0,16.0,15894443158.0,37409970019.0,16642553038.0,38158079899.0,24105839698.0,45621366559.0,,,,,,,,,,,,,22183000000.0
Hungary,1999,76244080.0,81060356.51,-10243600.0,91303956.51,46040.1,10253416.0,3.0,31.0,200903.0,557257.0,82912.0,48847.0,69492.0,187935.0,2.0,2.0,12.0,17.0,33471799772.0,95036522626.0,36674051132.0,98238773986.0,68620320652.0,130185043506.0,33775225192.13,95339948046.13,37179760165.55,98744483019.55,71144049543.24,132708772397.24,34420571992.13,95985294846.13,38255338165.55,99820061019.55,76511695943.24,138076418797.24,46040100000.0
Ireland,1999,73247440.0,,-12858900.0,,92790.5,3732006.0,2.0,38.0,179422.0,161172.0,126230.0,18948.0,37613.0,131509.0,1.0,0.0,6.0,34.0,13911018926.0,28380295978.0,16987411406.0,31456688458.0,47678088766.0,62147365818.0,,,,,,,,,,,,,92790500000.0
Italy,1999,531850920.0,,-94869800.0,,1175149.5,56909109.0,32.0,1434.0,1627683.0,903295.0,464726.0,219456.0,313137.0,1801054.0,10.0,14.0,55.0,108.0,245215620199.0,665554810155.0,267553358839.0,687892548795.0,490398894319.0,910738084275.0,,,,,,,,,,,,,1175149500000.0
Lithuania,1999,13944640.0,,-6416700.0,,10292.3,3536401.0,0.0,3.0,73049.0,68129.0,36604.0,7993.0,9829.0,71341.0,0.0,0.0,2.0,17.0,2392003769.0,5762848509.0,2977678649.0,6348523389.0,8820482809.0,12191327549.0,,,,,,,,,,,,,10292300000.0
Latvia,1999,2208270.0,,-4609800.0,,7046.7,2399248.0,15.0,151.0,44830.0,32221.0,13433.0,29028.0,33605.0,54992.0,1.0,0.0,2.0,9.0,7347071768.0,12474365120.0,7439819108.0,12567112460.0,8365084238.0,13492377590.0,,,,,,,,,,,,,7046700000.0
Malta,1999,2840260.0,3101452.38,-1624100.0,4725552.38,3861.0,386397.0,0.0,1.0,8723.0,10877.0,2137.0,785.0,1167.0,5347.0,0.0,0.0,0.0,6.0,442999946.0,890784925.0,562290866.0,1010075845.0,1752359806.0,2200144785.0,459455065.94,907240044.94,589716065.9,1037501044.9,1889224613.12,2337009592.12,561773365.94,1009558344.94,760246565.9,1208031544.9,2740253013.12,3188037992.12,3861000000.0
Netherlands,1999,227433710.0,242729682.42,23860800.0,218868882.42,419459.0,15760225.0,1.0,35.0,514789.0,95011.0,195459.0,36002.0,50875.0,360983.0,3.0,1.0,5.0,31.0,46139539946.0,114283691298.0,55691755766.0,123835907118.0,150986480256.0,219130631608.0,47103186208.46,115247337560.45999,57297832870.1,125441984222.1,159001569804.08,227145721156.08,45599955808.46,113744107160.45999,54792448870.1,122936600222.1,146498510604.08,214642661956.08,419459000000.0
Norway,1999,38623130.0,,,,152395.0,4445329.0,4.0,13.0,227063.0,29213.0,30910.0,41578.0,52187.0,403589.0,1.0,1.0,12.0,0.0,6332386243.823529,12454784369.823528,7954557703.823529,14076955829.823528,24137649173.82353,30260047299.82353,,,,,,,,,,,,,152395000000.0
Poland,1999,370012270.0,,20173200.0,,159561.4,38666983.0,31.0,464.0,928086.0,1524403.0,361891.0,341492.0,468823.0,852142.0,10.0,12.0,45.0,130.0,107597702893.0,242613862190.0,123138218233.0,258154377530.0,278173359363.0,413189518660.0,,,,,,,,,,,,,159561400000.0
Portugal,1999,73141950.0,84465358.81,-31110400.0,115575758.81,119603.3,10186634.0,4.0,342.0,305746.0,330830.0,70845.0,68087.0,107249.0,236872.0,3.0,3.0,14.0,123.0,32642235631.0,72266717941.0,35714197531.0,75338679841.0,66360674581.0,105985156891.0,33355610386.03,72980092696.03,36903155456.05,76527637766.05,72294140797.44,111918623107.44,35315565586.03,74940047896.03,40169747456.05,79794229766.05,88595990397.44,128220472707.44,119603300000.0
Romania,1999,117377470.0,,9547800.0,,33726.8,22488595.0,15.0,144.0,306633.0,474732.0,185313.0,108522.0,140746.0,288803.0,4.0,2.0,15.0,45.0,43561737404.0,112038333450.0,48491591144.0,116968187190.0,97672751074.0,166149347120.0,,,,,,,,,,,,,33726800000.000004
Sweden,1999,22630530.0,,-26222000.0,,257109.7,8854322.0,1.0,22.0,225092.0,46684.0,60366.0,34113.0,53247.0,232473.0,1.0,1.0,7.0,19.0,5485252791.0,12457409469.0,6435735051.0,13407891729.0,15917927121.0,22890083799.0,,,,,,,,,,,,,257109700000.0
Slovenia,1999,12884620.0,,-2714600.0,,21227.5,1978334.0,1.0,9.0,60912.0,96273.0,21399.0,14099.0,17698.0,55624.0,1.0,0.0,2.0,3.0,9115739451.0,27282121040.0,9656893491.0,27823275080.0,15055549271.0,33221930860.0,,,,,,,,,,,,,21227500000.0
Slovakia,1999,41507690.0,50944883.18,-2253900.0,53198783.18,19516.1,5393382.0,2.0,48.0,107952.0,115344.0,33083.0,39645.0,49749.0,144409.0,1.0,1.0,3.0,3.0,15431308747.0,37904316180.0,17174631727.0,39647639160.0,34566353837.0,57039361270.0,16025851917.34,38498859350.34,18165537010.9,40638544443.9,39511443063.32,61984450496.32,16167847617.34,38640855050.34,18402196510.9,40875203943.9,40692486663.32,63165494096.32,19516100000.0
Belgium,2000,147191150.0,,-63701500.0,,256376.4,10239085.0,4.0,105.0,358638.0,170574.0,95272.0,39772.0,54710.0,235333.0,3.0,3.0,23.0,36.0,46194944021.0,120699395121.0,52376972321.0,126881423421.0,114050064171.0,188554515271.0,,,,,,,,,,,,,256376400000.0
Bulgaria,2000,40380010.0,,2999600.0,,14440.0,8190876.0,11.0,176.0,164407.0,1102043.0,44502.0,35312.0,62864.0,134910.0,3.0,2.0,9.0,25.0,34772056670.0,93183655210.0,36468017090.0,94879615630.0,53387241280.0,111798839820.0,,,,,,,,,,,,,14440000000.0
Cyprus,2000,8251740.0,,-599130.0,,10804.6,690497.0,0.0,21.0,22489.0,47598.0,6604.0,2468.0,4545.0,13374.0,0.0,0.0,1.0,10.0,2043107384.0,2784497168.0,2389680464.0,3131070248.0,5847159524.0,6588549308.0,,,,,,,,,,,,,10804600000.0
Czechia,2000,143224560.0,,6739600.0,,67032.5,10278098.0,4.0,222.0,311294.0,233695.0,80431.0,50207.0,70305.0,318388.0,2.0,3.0,13.0,14.0,39321216808.0,88957805402.0,45336648328.0,94973236922.0,105347738968.0,154984327562.0,,,,,,,,,,,,,67032500000.0
Germany,2000,1040040660.0,1066853359.43,-184714100.0,1251567459.4299998,2109090.0,82163475.0,8.0,355.0,1865916.0,642871.0,632990.0,165296.0,302942.0,1814031.0,18.0,18.0,83.0,161.0,189493977448.0,459510172661.0,233175685168.0,503191880381.0,668952721708.0,938968916921.0,191183177512.09,461199372725.08997,235991018608.15,506007213821.15,683002576209.32,953018771422.32,202820165812.09,472836361025.08997,255385999108.14996,525402194321.14996,779792764609.32,1049808959822.32,2109090000000.0
Denmark,2000,77196540.0,93687954.17,-11316900.0,105004854.17,178018.1,5330020.0,1.0,22.0,217957.0,32579.0,103953.0,20378.0,32506.0,180877.0,1.0,1.0,2.0,8.0,10596313509.0,21155967641.0,13838568189.0,24398222321.0,46183918449.0,56743572581.0,11635272601.71,22194926733.71,15570166676.85,26129820808.85,54825419474.08,65385073606.08,12348237301.71,22907891433.71,16758441176.85,27318095308.85,60755475074.08,71315129206.08,178018100000.0
Estonia,2000,12774800.0,,-4838100.0,,6171.6,1401250.0,7.0,30.0,44433.0,97035.0,8170.0,10814.0,27398.0,35185.0,1.0,0.0,7.0,6.0,2667488311.0,3945557193.0,3204029911.0,4482098793.0,8556671111.0,9834739993.0,,,,,,,,,,,,,6171600000.0
Greece,2000,124131480.0,,-1570700.0,,142976.0,10775627.0,3.0,340.0,430740.0,531696.0,76545.0,66141.0,127076.0,313236.0,8.0,3.0,7.0,50.0,37505900945.0,77289015494.0,42719423105.0,82502537654.0,94730513225.0,134513627774.0,,,,,,,,,,,,,142976000000.0
Spain,2000,339879560.0,,-25184000.0,,647851.0,40470182.0,10.0,279.0,1335028.0,1387881.0,573213.0,185376.0,295378.0,886935.0,16.0,9.0,33.0,197.0,111398443617.0,282224387424.0,125673385137.0,296499328944.0,268082920777.0,438908864584.0,,,,,,,,,,,,,647851000000.0
Finland,2000,45793690.0,,-22059800.0,,136442.0,5171302.0,4.0,31.0,241309.0,81808.0,36302.0,25916.0,42511.0,178816.0,1.0,1.0,29.0,35.0,6966645985.0,13241583259.0,8889980965.0,15164918239.0,28077537075.0,34352474349.0,,,,,,,,,,,,,136442000000.0
France,2000,526016010.00000006,,-112723300.0,,1478585.0,60545022.0,16.0,266.0,1815875.0,616213.0,668877.0,375951.0,480755.0,2149275.0,14.0,12.0,113.0,176.0,160484299754.0,414359881918.0,182576972174.0,436452554338.0,402977680364.00006,656853262528.0,,,,,,,,,,,,,1478585000000.0
Croatia,2000,18958220.0,,-1993700.0,,23624.9,4497735.0,1.0,145.0,88023.0,60356.0,39186.0,35871.0,47693.0,104345.0,1.0,0.0,3.0,13.0,13569203079.0,31900312554.0,14365448319.0,32696557794.0,22308942499.0,40640051974.0,,,,,,,,,,,,,23624900000.0
Hungary,2000,74278930.0,78111936.47,-14741700.0,92853636.47,51238.5,10221644.0,3.0,21.0,188870.0,427302.0,86816.0,48285.0,71674.0,191012.0,2.0,2.0,13.0,15.0,29780414399.0,84200712368.0,32900129459.0,87320427428.0,64023001129.0,118443299098.0,30021893806.61,84442191775.61,33302595138.35,87722893107.35,66031496519.28,120451794488.28,30950620906.61,85370918875.61,34850473638.35,89270771607.35,73756147319.28,128176445288.28,51238500000.0
Ireland,2000,77038020.0,,-9150900.0,,108495.3,3777565.0,2.0,17.0,181005.0,144306.0,120735.0,19342.0,39141.0,124473.0,1.0,0.0,6.0,31.0,13023993274.0,26639903093.0,16259590114.0,29875499933.0,48538520494.0,62154430313.0,,,,,,,,,,,,,108495300000.0
Italy,2000,538424000.0,,-103235300.0,,1241512.9,56923524.0,39.0,993.0,1505810.0,756420.0,456981.0,204942.0,293335.0,1624888.0,10.0,15.0,56.0,109.0,218307152086.0,605064361362.0,240920960086.0,627678169362.0,466520616086.0,853277825362.0,,,,,,,,,,,,,1241512900000.0
Lithuania,2000,10049000.0,,-8355100.0,,12475.7,3512074.0,0.0,3.0,63055.0,39638.0,34485.0,7077.0,8721.0,61858.0,0.0,0.0,1.0,12.0,1823499277.0,4449644796.0,2245557277.0,4871702796.0,6456088277.0,9082233796.0,,,,,,,,,,,,,12475700000.0
Latvia,2000,-1658560.0,,-7612700.0,,8632.3,2381715.0,15.0,153.0,43343.0,17764.0,13571.0,27111.0,31695.0,53425.0,1.0,0.0,2.0,7.0,6956877301.0,11542280331.0,6887217781.0,11472620811.0,6192281141.0,10777684171.0,,,,,,,,,,,,,8632300000.0
Malta,2000,2744770.0,2995501.24,-2138900.0,5134401.24,4412.4,388759.0,0.0,1.0,8386.0,9483.0,2168.0,732.0,1138.0,4946.0,0.0,0.0,0.0,5.0,425044812.0,849441348.0,540325152.0,964721688.0,1690383782.0,2114780318.0,440840880.12,865237416.12,566651932.2,991048468.2,1821766951.7600002,2246163487.76,575591580.12,999988116.12,791236432.2,1215632968.2,2942550551.76,3366947087.76,4412400000.0
Netherlands,2000,225681050.0,240592216.99,41929000.0,198663216.99,452007.0,15863950.0,1.0,28.0,495591.0,78951.0,173434.0,34772.0,49810.0,338086.0,3.0,1.0,5.0,20.0,43676729108.0,107065903551.0,53155333208.0,116544507651.0,147715693158.0,211104867601.0,44616132628.37,108005307071.37,54721005741.95,118110180184.95,155529144660.76,218918319103.76,41974605628.37,105363780071.37,50318460741.95,113707635184.95,133558348660.76001,196947523103.76,452007000000.0
Norway,2000,36383660.0,,,,186016.3,4478497.0,3.0,11.0,214212.0,26835.0,30149.0,42121.0,52152.0,414065.0,1.0,1.0,10.0,0.0,6038099038.529411,12011562246.529411,7566212758.529411,13539675966.529411,22810966298.52941,28784429506.52941,,,,,,,,,,,,,186016300000.0
Poland,2000,359905480.0,,17447200.0,,186737.9,38263303.0,30.0,397.0,868873.0,1324771.0,350227.0,293413.0,406202.0,825757.0,10.0,11.0,42.0,120.0,97299937542.0,217280893374.0,112415967702.0,232396923534.0,263216363822.0,383197319654.0,,,,,,,,,,,,,186737900000.0
Portugal,2000,80539720.0,83690548.03,-45304800.0,128995348.03,128414.4,10249022.0,4.0,35.0,300541.0,294741.0,73227.0,66129.0,83778.0,232591.0,3.0,2.0,13.0,106.0,21526512248.0,57314504849.0,24909180488.0,60697173089.0,58655323168.0,94443315769.0,21725014413.89,57513007014.89,25240017431.15,61028010032.15,60306357055.72,96094349656.72,24579216813.89,60367209414.89,29997021431.15,65785014032.15,84046072255.72,119834064856.72,128414400000.0
Romania,2000,109316170.0,,3266400.0,,40594.9,22455485.0,6.0,50.0,316122.0,491785.0,176033.0,106347.0,139198.0,305923.0,3.0,3.0,15.0,35.0,39897704506.0,108677841549.0,44488983646.0,113269120689.0,90292458876.0,159072595919.0,,,,,,,,,,,,,40594900000.0
Sweden,2000,20143140.0,,-30928000.0,,285150.3,8861426.0,1.0,19.0,222230.0,44053.0,59661.0,33610.0,52612.0,222152.0,1.0,1.0,7.0,17.0,5175320643.0,12025739786.0,6021332523.0,12871751666.0,14461308183.0,21311727326.0,,,,,,,,,,,,,285150300000.0
Slovenia,2000,12568630.0,,-4031400.0,,21866.8,1987755.0,1.0,8.0,58573.0,93120.0,22221.0,14209.0,17898.0,54773.0,1.0,0.0,2.0,2.0,8959880090.0,26884361084.0,9487762550.0,27412243544.0,14754018520.0,32678499514.0,,,,,,,,,,,,,21866800000.0
Slovakia,2000,39656300.0,49063518.15,-5110500.0,54174018.15,22389.1,5398657.0,2.0,45.0,110154.0,117296.0,33139.0,43647.0,54174.0,144364.0,1.0,2.0,3.0,2.0,15840106356.0,39546499801.0,17505670956.0,41212064401.0,34121660656.0,57828054101.0,16432761099.45,40139154544.45,18493428861.75,42199822306.75,39051042966.6,62757436411.6,16754722599.45,40461116044.45,19030031361.75,42736424806.75,41728944966.6,65435338411.6,22389100000.0
Belgium,2001,145804500.0,,-63283100.0,,264334.9,10263414.0,4.0,81.0,347524.0,164891.0,92971.0,38895.0,52965.0,229228.0,2.0,3.0,22.0,39.0,44190301482.0,116536105258.0,50314090482.0,122659894258.0,111406175982.0,183751979758.0,,,,,,,,,,,,,264334900000.00003
Bulgaria,2001,45921450.0,,3527100.0,,15905.3,8149468.0,2.0,146.0,162981.0,1027122.0,41311.0,32133.0,53288.0,110034.0,2.0,0.0,3.0,18.0,31808531982.0,85524208687.0,33737232882.0,87452909587.0,52978320432.0,106693997137.0,,,,,,,,,,,,,15905300000.0
Cyprus,2001,8177470.0,,-891210.0,,11602.9,697549.0,0.0,20.0,22508.0,45251.0,7019.0,2207.0,4092.0,13120.0,0.0,0.0,1.0,10.0,1971473523.0,2683839923.0,2314927263.0,3027293663.0,5741287193.0,6453653593.0,,,,,,,,,,,,,11602900000.0
Czechia,2001,142776880.0,,5132300.0,,75705.2,10232027.0,4.0,97.0,308672.0,228676.0,80138.0,50886.0,69805.0,306375.0,2.0,3.0,12.0,13.0,35057502145.0,84337277031.0,41054131105.0,90333905991.0,100877643825.0,150157418711.0,,,,,,,,,,,,,75705200000.0
Germany,2001,1045221220.0,1094145487.15,-164940300.0,1259085787.15,2172540.0,82259540.0,8.0,334.0,1810008.0,622069.0,637279.0,159235.0,287958.0,1717890.0,17.0,18.0,81.0,159.0,185804077484.0,447991572460.0,229703368724.0,491890863700.0,667651059904.0,929838554880.0,188886306314.45,451073801290.45,234840416774.75,497027911750.75,693287375890.6001,955474870866.6001,199277545214.45,461465040190.45,252159148274.75,514346643250.75,779716093090.6001,1041903588066.6001,2172540000000.0
Denmark,2001,78289930.0,94266729.93,-10456700.0,104723429.93,184045.6,5349212.0,1.0,22.0,215047.0,29943.0,100892.0,20433.0,32146.0,171651.0,1.0,1.0,2.0,7.0,10560459236.0,20894081360.0,13848636296.0,24182258420.0,46652116966.0,56985739090.0,11566997631.59,21900619755.59,15526200288.650002,25859822412.65,55023960129.32001,65357582253.32001,12225769731.59,22559391855.59,16624153788.650002,26957775912.65,60503270929.32001,70836893053.32,184045600000.0
Estonia,2001,12969220.0,,-3063300.0,,6987.1,1392720.0,6.0,27.0,48623.0,90633.0,8568.0,10696.0,26778.0,35465.0,1.0,0.0,6.0,6.0,2561376607.0,3824594785.0,3106083847.0,4369302025.0,8540187027.0,9803405205.0,,,,,,,,,,,,,6987100000.0
Greece,2001,125103750.0,,-1045100.0,,152193.8,10835989.0,3.0,67.0,456416.0,536753.0,75596.0,70245.0,132675.0,310905.0,9.0,3.0,7.0,54.0,29429635980.0,70604762579.0,34683993480.0,75859120079.0,87102464730.0,128277591329.0,,,,,,,,,,,,,152193800000.0
Spain,2001,336738080.0,,-23931600.0,,700993.0,40665545.0,10.0,159.0,1301828.0,1329640.0,574118.0,178256.0,286391.0,857593.0,14.0,8.0,33.0,204.0,104318646286.0,269450281032.0,118461645646.0,283593280392.0,259554901166.0,424686535912.0,,,,,,,,,,,,,700993000000.0
Finland,2001,50401350.0,,-18734200.0,,144628.0,5181115.0,5.0,30.0,244674.0,95775.0,36636.0,26717.0,43631.0,176534.0,2.0,1.0,26.0,32.0,7532484275.0,14076853950.0,9649340975.0,16193710650.0,30767506625.0,37311876300.0,,,,,,,,,,,,,144628000000.0
