countries,Year,GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro]
Estonia,2004,5606.297138883807,4780.3792702653245,5156.421420677036,4330.503552058554,668.3755652333034,-157.54230338517857,,,,,,,,,,,,
Greece,2004,14995.946775652632,11243.068646770505,14498.716947298575,10745.838818416452,9538.25746919505,5785.3793403129275,,,,,,,,,,,,
Spain,2004,17739.69697973211,13943.002890490434,17365.615423589064,13568.921334347386,13633.706565876297,9837.012476634618,,,,,,,,,,,,
Finland,2004,28979.087834394562,27763.829145442716,28548.91969166233,27333.661002710483,24257.480362976494,23042.221674024644,,,,,,,,,,,,
France,2004,25079.87219470881,21434.716182999422,24743.70036297137,21098.544351261982,21389.986136828822,17744.830125119435,,,,,,,,,,,,
Croatia,2004,5458.033964547202,846.5117809428151,5246.770811419679,635.2486278152925,3139.1693552189236,-1472.3528283854635,,,,,,,,,,,,
Hungary,2004,6075.427585975801,2264.479180056189,5769.356394281875,1958.4079883622621,2715.931886668653,-1095.0165192509596,6033.0959276128615,2222.14752169325,5698.803630343643,1887.8552244240293,2363.8399980626173,-1447.108407856996,5912.1137873151265,2101.165381395513,5497.166729847415,1686.218323927802,1357.5758470147807,-2453.3725589048327
Ireland,2004,36108.70315978426,33663.60202127107,35306.39499301413,32861.293854500946,27302.415900712134,24857.31476219895,,,,,,,,,,,,
Italy,2004,22210.2786695747,16448.48469203891,21802.350615226478,16040.556637690688,17732.782644466824,11970.988666931033,,,,,,,,,,,,
Lithuania,2004,4724.423529294081,3998.564949429659,4519.536972381595,3793.6783925171735,2475.549654611792,1749.69107474737,,,,,,,,,,,,
Latvia,2004,1571.7964713685801,-720.869889568288,1491.3027441006448,-801.3636168362236,688.2819887371953,-1604.3843721996732,,,,,,,,,,,,
Malta,2004,11071.256905421053,9860.189285437407,10737.689094123794,9526.62147414015,7409.953071896405,6198.88545191276,11040.359157294799,9829.291537311155,10686.19284724671,9475.125227263065,7152.962277957419,5941.894657973775,10811.136190658393,9600.068570674748,10304.154569519365,9093.08694953572,5246.409349108577,4035.3417291249334
Netherlands,2004,30026.068872481,26541.764231058223,29440.23039830405,25955.925756881275,23595.79419163402,20111.489550211245,29970.579160975325,26486.274519552553,29347.747545794595,25863.442904371823,23134.26071815826,19649.956076735485,29936.629055575115,26452.324414152343,29291.164036794245,25806.859395371466,22851.88206371841,19367.57742229564
Norway,2004,45467.762787388405,44278.02296438188,45163.6513036541,43973.91148064757,42129.77721592373,40940.0373929172,,,,,,,,,,,,
Poland,2004,3018.5881282906,23.265780371970333,2630.719046447231,-364.60330147139797,-1238.736793847325,-4234.059141765954,,,,,,,,,,,,
Portugal,2004,12696.70502384692,9724.422090890428,12374.557498531945,9402.274565575453,9160.752424556362,6188.469491599867,12658.52175859277,9686.238825636276,12310.91872310836,9338.635790151866,8843.164631013888,5870.881698057396,12396.880813500364,9424.597880543872,11874.850481287685,8902.567548331193,6666.976452785004,3694.693519828512
Romania,2004,715.596475735349,-2867.4563742481687,481.70044642612373,-3101.3524035573946,-1851.690893587338,-5434.743743570856,,,,,,,,,,,,
Sweden,2004,33988.52551352712,33294.213123699956,33864.45086506077,33170.1384752336,32626.658538694046,31932.34614886688,,,,,,,,,,,,
Slovenia,2004,10071.084308363967,2658.3425779878417,9793.363583451086,2380.6218530749607,7022.768732534475,-389.97299784164977,,,,,,,,,,,,
Slovakia,2004,4141.147401977893,683.3946035602095,3811.8706075625355,354.11780914485155,526.9425870855144,-2930.81021133217,4039.541535004071,581.7887365863872,3642.527495939499,184.7746975218144,-318.16017949040094,-3775.912977908085,4000.8915664176843,543.1387679999996,3578.1108816288533,120.35808321116859,-639.6297594787658,-4097.3825578964515
Belgium,2005,25836.09854466634,19739.591292792586,25258.507495128208,19162.000243254453,19496.34916759303,13399.841915719273,,,,,,,,,,,,
Bulgaria,2005,-781.2164106395292,-8091.245240306621,-1032.4081129229046,-8342.436942589997,-3538.3443809403902,-10848.373210607482,,,,,,,,,,,,
Cyprus,2005,18710.752681542068,17833.347597150056,18189.878818716432,17312.47373432442,12993.541949098784,12116.136864706774,,,,,,,,,,,,
Czechia,2005,7770.522802608724,3371.6029949440413,7186.550519445565,2787.6307117808806,1360.7317897940509,-3038.1880178706333,,,,,,,,,,,,
Germany,2005,25747.827379437025,22989.089116998057,25242.39722440917,22483.6589619702,20200.129725440765,17441.391463001793,25709.462793359136,22950.72453092016,25178.456247612674,22419.717985173706,19881.033803142076,17122.295540703104,25569.150408210226,22810.41214577125,24944.602272364496,22185.86400992552,18713.991107617814,15955.25284517884
Denmark,2005,37493.54430448285,35674.69631971733,36927.05521708318,35108.20723231766,31275.65217850078,29456.80419373527,37141.98893717251,35323.140952407,36341.12960489928,34522.28162013377,28351.604361506856,26532.756376741345,36963.77666143266,35144.92867666715,36044.10914533286,34225.26116056735,26869.33082995636,25050.48284519085
Estonia,2005,6847.321769878942,6090.759054347426,6340.829927512234,5584.2672119807185,1287.9708334253228,531.4081178938072,,,,,,,,,,,,
Greece,2005,15412.56517654836,11659.539454190697,14902.514693007564,11149.4889706499,9814.15391673151,6061.128194373846,,,,,,,,,,,,
Spain,2005,19041.903746247546,15424.607439201902,18659.33387809842,15042.037571052775,14842.744002991662,11225.447695946017,,,,,,,,,,,,
Finland,2005,30280.33598905857,29172.99351450776,29948.73013939741,28841.387664846596,26640.567020158647,25533.224545607838,,,,,,,,,,,,
France,2005,25940.050384919472,22460.44379699383,25605.710309342237,22126.10372141659,22270.270031559812,18790.66344363417,,,,,,,,,,,,
Croatia,2005,6172.412700386302,1493.825515366883,5958.969047250654,1280.3818622312338,3829.614507635481,-848.9726773839388,,,,,,,,,,,,
Hungary,2005,7160.365383124161,4032.6129765748105,6865.225671497113,3737.4732649477605,3920.85569121774,793.1032846683888,7096.847102810791,3969.0946962614394,6759.361870974828,3631.6094644254763,3392.5449152779547,264.7925087286026,6985.014300612951,3857.261894063598,6572.973867311761,3445.221460762409,2462.3800208070293,-665.3723857423224
Ireland,2005,38785.33778545564,36375.52093576531,37976.094105512304,35566.277255821966,29902.925012744206,27493.108163053857,,,,,,,,,,,,
Italy,2005,22761.006777739512,17019.32991434106,22355.59892088006,16613.922057481614,18311.172920306028,12569.496056907577,,,,,,,,,,,,
Lithuania,2005,5499.934981908788,4574.134650186874,5270.544897204953,4344.744565483038,2982.1057188500313,2056.305387128117,,,,,,,,,,,,
Latvia,2005,2582.239819195599,509.13622204323775,2487.4537921096094,414.35019495724805,1541.8503314184318,-531.2532657339298,,,,,,,,,,,,
Malta,2005,11642.60026870772,10473.331022082712,11329.982578700074,10160.71333207506,8211.248956957097,7041.979710332086,11612.787871968969,10443.518625343957,11280.29525080215,10111.02600417714,7963.285530114139,6794.016283489129,11512.687044488262,10343.417797863252,11113.460538334311,9944.1912917093,7130.700869798446,5961.431623173435
Netherlands,2005,31328.136779150824,27932.35500664008,30759.230370366462,27363.44859785572,25083.71167320821,21687.92990069747,31273.1542202024,27877.37244769166,30667.592772119096,27271.810999608355,24626.3964210023,21230.614648491563,31124.878138829747,27729.096366319,30420.46596983133,27024.68419732059,23393.115998156696,19997.334225645955
Norway,2005,52919.783405233655,51738.29492549379,52603.73050189105,51422.24202215118,49450.72653759209,48269.23805785222,,,,,,,,,,,,
Poland,2005,4055.388985466092,990.8161737221321,3666.7271127462045,602.1543010022438,-210.63776034029598,-3275.210572084256,,,,,,,,,,,,
Portugal,2005,13254.460881102335,10384.89502101638,12893.61805914468,10024.052199058724,9293.781335329015,6424.215475243058,13261.967029516503,10392.401169430545,12906.128306501623,10036.56244641567,9356.213426900815,6486.647566814859,12907.786107997468,10038.220247911513,12315.82677063657,9446.26091055061,6410.327666964724,3540.7618068787697
Romania,2005,1561.5985684270306,-2114.514566824588,1330.1472202733148,-2345.9659149783038,-978.8555148792319,-4654.9686501308515,,,,,,,,,,,,
Sweden,2005,34504.009184818504,33819.67262627128,34396.085625395055,33711.74906684782,33319.41963971826,32635.083081171026,,,,,,,,,,,,
Slovenia,2005,10686.682464870168,3110.1925800589715,10404.547692469425,2828.057807658229,7589.917463042967,13.427578231769472,,,,,,,,,,,,
Slovakia,2005,4817.3726987530445,1082.635183711683,4457.907135445313,723.1696204039517,871.8102062562762,-2862.927308785085,4761.254427229589,1026.5169121882275,4364.37668290622,629.6391678648571,405.0487097754662,-3329.6888052658946,4761.024961515519,1026.287446474156,4363.994240049436,629.2567250080729,403.14013780446925,-3331.597377236893
Belgium,2006,27165.17495653759,21219.593865297637,26601.889917519886,20656.308826279932,20982.451075890876,15036.869984650924,,,,,,,,,,,,
Bulgaria,2006,-304.3454546908257,-7494.0527461569245,-579.7592968017938,-7769.466588267892,-3327.340245480263,-10517.047536946362,,,,,,,,,,,,
Cyprus,2006,20161.7563295265,19375.542576541,19634.088614043034,18847.874861057535,14369.974976243695,13583.761223258196,,,,,,,,,,,,
Czechia,2006,9142.840134328719,4787.297592417997,8550.18822003297,4194.645678122247,2637.7798369396546,-1717.7627049710666,,,,,,,,,,,,
Germany,2006,26945.099359670257,24181.97638742912,26439.30589465452,23676.182922413383,21393.413946045144,18630.290973804007,26900.413791821837,24137.290819580703,26364.82994824049,23601.706975999354,21021.74350870275,18258.620536461618,26774.140120318792,24011.017148077655,26154.373829068747,23391.25085682761,19971.467256836124,17208.344284594987
Denmark,2006,39626.017418464144,37784.25658047348,39000.310195249745,37158.54935725908,32758.13575413467,30916.374916143996,39163.76004732969,37321.999209339025,38229.881243359,36388.120405368325,28913.328413270367,27071.567575279703,39011.84851745909,37170.08767946842,37976.69536024132,36134.934522250645,27649.8102918069,25808.04945381623
Estonia,2006,8860.783485600059,8156.53238246835,8420.574853039165,7716.323749907456,4028.969685348338,3324.7185822166293,,,,,,,,,,,,
Greece,2006,17156.856676810195,13515.893582624032,16661.930368852773,13020.967274666607,11724.451248991798,8083.488154805632,,,,,,,,,,,,
Spain,2006,20551.47577320603,17135.736811142186,20183.738055769227,16767.999093705377,16515.11654134014,13099.377579276299,,,,,,,,,,,,
Finland,2006,31589.01195529323,30424.064617986976,31198.624801068578,30033.677463762324,27304.048191065496,26139.100853759246,,,,,,,,,,,,
France,2006,27171.337549204578,23932.250420534612,26846.546392969056,23607.45926429909,23606.367953381352,20367.280824711386,,,,,,,,,,,,
Croatia,2006,7168.668592624164,2737.114833505586,6949.554638193692,2518.000879075114,4763.63209280399,332.07833368541156,,,,,,,,,,,,
Hungary,2006,7340.882366151773,4362.609968897188,7042.391038587394,4064.118641332809,4064.584699314182,1086.3123020595976,7286.643504249108,4308.371106994526,6951.99293541629,3973.720538161704,3613.45511777457,635.182720519985,7167.019179292064,4188.746782037479,6752.619060487878,3774.3466632332934,2618.4845419413577,-359.7878553132265
Ireland,2006,41463.74355751071,39273.769628074624,40678.9242019545,38488.950272518414,32849.416821524675,30659.442892088606,,,,,,,,,,,,
Italy,2006,23801.083674360947,18295.762699551917,23404.92091566072,17899.59994085169,19452.725775294228,13947.404800485203,,,,,,,,,,,,
Lithuania,2006,6513.567513872276,5555.889685652928,6270.128538969279,5312.450710749931,3841.534956008432,2883.8571277890837,,,,,,,,,,,,
Latvia,2006,4226.762683167898,2152.232740271667,4137.017105096608,2062.4871622003748,3241.698123861582,1167.1681809653505,,,,,,,,,,,,
Malta,2006,12178.20388939232,10999.574532282795,11861.849774937717,10683.220417828192,8705.840871212027,7527.211514102504,12148.864888061453,10970.235530951928,11812.95143938627,10634.322082276747,8461.814891888622,7283.185534779099,11963.908875824385,10785.279518714862,11504.691418991159,10326.062061881634,6923.450599631111,5744.821242521587
Netherlands,2006,33364.48016114645,29997.843200130283,32809.83460804042,29443.19764702425,27276.584923482675,23909.947962466507,33317.30700461486,29950.670043598682,32731.212680487763,29364.575719471588,26884.224065981765,23517.58710496559,33094.02551747835,29727.38855646217,32359.07686859358,28992.43990757741,25027.08915710034,21660.452196084174
Norway,2006,58433.21242187061,57292.51014036192,58137.44970894694,56996.74742743823,55186.86454906547,54046.16226755677,,,,,,,,,,,,
Poland,2006,4662.4152718547075,1431.6395629065196,4250.8618859867465,1020.0861770385585,145.1269174468533,-3085.6487915013345,,,,,,,,,,,,
Portugal,2006,14064.931310614129,11287.376439166408,13745.698103726907,10968.143232279184,10560.966825494854,7783.411954047132,14038.322766668874,11260.767895221152,13701.350530484815,10923.795659037092,10339.651317124792,7562.096445677069,13739.596227026703,10962.041355578982,13203.472964414534,10425.918092966811,7855.005177878819,5077.450306431096
Romania,2006,2393.3572908822202,-1339.3328467645688,2157.74515416463,-1574.9449834821592,-192.76640023228026,-3925.4565378790694,,,,,,,,,,,,
Sweden,2006,36808.40261304686,36143.155347096166,36735.17610330168,36069.92883735098,36004.65449417711,35339.407228226424,,,,,,,,,,,,
Slovenia,2006,12305.220694953174,5860.684079929798,12020.268389873403,5575.731774850027,9177.529917768066,2732.993302744692,,,,,,,,,,,,
Slovakia,2006,6190.170910721305,2720.534295080821,5856.740613497892,2387.103997857407,2530.3764578643154,-939.2601577761698,6097.393604610001,2627.7569889695155,5702.11176997905,2232.475154338566,1758.704895922671,-1710.931719717814,6067.249817088559,2597.613201448075,5651.872124109983,2182.2355084694977,1507.9851393951308,-1961.6514762453544
Belgium,2007,28930.340291126664,23347.797879906666,28384.131857198438,22801.589445978447,22935.052480628812,17352.51006940882,,,,,,,,,,,,
Bulgaria,2007,268.7358026683581,-7189.118147449388,-25.236515956782625,-7483.090466074528,-2957.960361288543,-10415.81431140629,,,,,,,,,,,,
Cyprus,2007,21552.10643395838,20813.136333050097,21013.79184500657,20274.821744098288,15643.462969511133,14904.49286860285,,,,,,,,,,,,
Czechia,2007,10525.680632476366,6207.419843492927,9925.866965281557,5607.606176298122,3942.0115711238473,-376.2492178595877,,,,,,,,,,,,
Germany,2007,28431.690282681,25735.45212664156,27937.358851384706,25241.120695345264,23005.814334404997,20309.576178365558,28382.39743751879,25686.159281479348,27855.204109447684,25158.965953408246,22595.823050833587,19899.584894794145,28236.875958091965,25540.637802052523,27612.66831040298,24916.430154363537,21385.453920362856,18689.215764323417
Denmark,2007,40991.129636150275,39166.325628170955,40401.50838558759,38576.70437760827,34519.334481164595,32694.530473185285,40519.45394564872,38694.6499376694,39615.382234751654,37790.57822677234,30596.19064270718,28771.38663472786,40341.02917746082,38516.225169481506,39318.007621105164,37493.20361312584,29112.149713652296,27287.34570567298
Estonia,2007,10524.530617609389,9616.843234891132,9956.842251958418,9049.154869240161,4293.474985107081,3385.7876023888252,,,,,,,,,,,,
Greece,2007,18445.88962784369,14875.652040937266,17937.58381653946,14367.346229633036,12866.6282228139,9296.390635907477,,,,,,,,,,,,
Spain,2007,21795.739904278846,18471.446515063883,21421.863900827128,18097.570511612168,17692.00567591595,14367.712286700988,,,,,,,,,,,,
Finland,2007,34090.73669815263,32982.84169487896,33638.502597236475,32530.607593962806,29126.92906666818,28019.034063394516,,,,,,,,,,,,
France,2007,28542.284440121162,25478.393840606495,28224.733907020127,25160.84330750546,25056.789302988378,21992.898703473715,,,,,,,,,,,,
Croatia,2007,8004.52191198392,3559.2660250421354,7760.277374447378,3315.021487505593,5323.64734521378,878.391458271995,,,,,,,,,,,,
Hungary,2007,8410.739486306495,5493.654418895472,8120.249080731695,5203.164013320675,5222.261463211685,2305.1763958006636,8349.064381108463,5431.979313697441,8017.457238734976,5100.372171323956,4709.281223151872,1792.1961557408497,8201.342151832905,5284.257084421883,7771.253523275713,4854.168455864691,3480.6074431456373,563.5223757346155
Ireland,2007,43093.49136567255,41077.85968100406,42353.82479900315,40338.193114334674,34974.77024103953,32959.13855637105,,,,,,,,,,,,
Italy,2007,24563.176907877994,18499.84253315967,24155.33045162812,18091.996076909792,20086.57651904007,14023.242144321739,,,,,,,,,,,,
Lithuania,2007,8138.293463381193,7221.852402612568,7889.603184078193,6973.162123309568,5408.621588174461,4492.180527405836,,,,,,,,,,,,
Latvia,2007,6652.2921633074375,4561.382507107804,6545.1581653718695,4454.248509172236,5476.368995490846,3385.459339291212,,,,,,,,,,,,
Malta,2007,13089.09801635044,11889.897316673902,12764.130658060825,11564.929958384288,9522.194393219204,8322.993693542663,13058.351448611495,11859.150748934953,12712.886378495918,11513.685678819376,9266.46103615242,8067.260336475878,12747.107069691532,11547.906370014993,12194.145746962646,10994.945047286104,6677.69826545304,5478.4975657765
Netherlands,2007,35482.79201982737,32246.368382195073,34933.55720176413,31697.133564131833,29454.286040609386,26217.86240297709,35427.625635647084,32191.201998014796,34841.61322813032,31605.18959049803,28995.441829332107,25759.01819169981,35325.309703471554,32088.88606583925,34671.086674504426,31434.663036872127,28144.433123618106,24908.00948598581
Norway,2007,61739.25081530647,60599.650122397434,61432.02463036922,60292.423937460204,58367.077690162,57227.476997252976,,,,,,,,,,,,
Poland,2007,5749.759638613327,2665.231612040861,5331.055723050719,2246.5276964782533,1153.9857082713631,-1930.5423183011026,,,,,,,,,,,,
Portugal,2007,15001.847595576697,12390.120149102953,14698.722978910786,12086.995532437042,11674.694065029411,9062.966618555667,14965.013023077518,12353.285576603774,14637.332024745485,12025.60457827174,11368.323969956862,8756.596523483118,14647.073984732906,12035.346538259162,14107.433627504466,11495.706181030722,8723.878635154057,6112.151188680313
Romania,2007,3987.3910499906224,538.9810529356547,3744.9147814417856,296.50478438681773,1325.9253404426772,-2122.484656612292,,,,,,,,,,,,
Sweden,2007,38912.77709363403,38267.16989930164,38835.69905885459,38190.091864522205,38066.753902364435,37421.146708032036,,,,,,,,,,,,
Slovenia,2007,13959.97590004263,7316.490223475498,13678.680481322657,7035.194804755526,10872.423804092467,4228.938127525335,,,,,,,,,,,,
Slovakia,2007,8363.21084646336,5219.581506854414,8039.905708723698,4896.276369114752,4814.5520727018275,1670.9227330928813,8275.916110658865,5132.2867710499195,7894.414482382873,4750.785142773926,4088.481571724751,944.852232115805,8186.069371856145,5042.440032247199,7744.6699177116725,4601.040578102726,3341.1848870799054,197.5555474709586
Belgium,2008,29616.06011878278,24530.057337272257,29074.0124601734,23988.00967866288,23666.441770713158,18580.438989202637,29605.856328872036,24519.85354736152,29057.006143655497,23971.00336214498,23581.57215304289,18495.56937153237,28931.90909826091,23845.906316750392,27933.760759303623,22847.757977793102,17976.042806372552,12890.040024862035
Bulgaria,2008,1104.595233813452,-5061.557040554126,806.8005085659725,-5359.351765801604,-2164.05639330769,-8330.208667675268,988.0407520828003,-5178.1115222847775,612.5430390148873,-5553.609235352691,-3133.4936699245354,-9299.645944292113,979.8453073356459,-5186.306967031931,598.8839644362957,-5567.268309931284,-3201.658956392935,-9367.811230760513
Cyprus,2008,22967.649254894484,22333.782973285946,22434.17021948056,21800.30393787202,17112.081747136857,16478.21546552832,22901.20027607998,22267.333994471446,22323.421921456385,21689.55563984785,16559.395002711462,15925.528721102926,22648.399480545075,22014.533198936537,21902.08726223154,21268.220980623006,14456.734417627486,13822.868136018948
Czechia,2008,12868.40931105779,8912.563643540794,12299.86166019331,8344.015992676312,6627.922000378598,2672.0763328616013,12879.361168014804,8923.515500497804,12318.114755121662,8362.269087604662,6719.013636021039,2763.1679685040417,12871.853004855646,8916.00733733865,12305.601149856402,8349.755482339404,6656.564786887745,2700.719119370746
Germany,2008,29074.893610482603,26432.4290947839,28582.682963053383,25940.218447354677,23672.29578989046,21029.831274191758,29018.734768153656,26376.270252454953,28489.084892505136,25846.620376806437,23205.19684734494,20562.732331646235,28876.537452746295,26234.072937047593,28252.089366826203,25609.6248511275,22022.476319194822,19380.01180349612
Denmark,2008,42367.69528292807,40621.646215131295,41819.60588725903,40073.556819462254,36351.7616780845,34605.71261028772,41907.88838324728,40161.839315450496,41053.261054457704,39307.21198666092,32527.336036295033,30781.286968498254,41711.06224433876,39965.01317654198,40725.21748961018,38979.1684218134,30890.24243648452,29144.19336868774
Estonia,2008,11048.86811661337,10329.721528047576,10585.026749051132,9865.88016048534,5957.656915513581,5238.510326947789,10708.350954700994,9989.204366135202,10017.49814586384,9298.351557298049,3125.418933893189,2406.272345327396,10723.492813880337,10004.346225314544,10042.734577829413,9323.587989263619,3251.3607467499487,2532.2141581841556
Greece,2008,19370.140801362486,16012.368681242828,18879.703047309646,15521.930927189984,13987.002596163416,10629.230476043756,19291.60261721498,15933.830497095318,18748.806073730462,15391.033953610802,13333.764366111116,9975.992245991456,19370.685980586455,16012.913860466793,18880.61167934959,15522.839559229928,13991.53710272466,10633.764982605
Spain,2008,22608.802186076624,20312.464939507354,22273.0180510434,19976.68080447413,18923.17156106911,16626.834314499843,22537.837160620045,20241.499914050775,22154.743008615766,19858.4057620465,18332.922777906442,16036.585531337176,22458.677690766803,20162.34044419753,22022.81055886037,19726.473312291095,17674.51702865092,15378.179782081646
Finland,2008,35479.68596245173,34472.57297993919,35114.562588812645,34107.449606300106,31472.022266079854,30464.90928356731,35131.913324736,34124.80034222346,34534.9415259531,33527.82854344056,28579.437152380804,27572.324169868258,34846.021658993785,33838.90867648124,34058.45541638273,33051.34243387019,26201.544567477238,25194.431584964692
France,2008,29243.049527261726,26321.930634249184,28930.432475612546,26009.31358260001,25811.705222255256,22890.586329242717,29153.673774918392,26232.55488190585,28781.472888373653,25860.353995361118,25068.32594879641,22147.20705578387,29001.761918699354,26080.643025686815,28528.28646134193,25607.16756832939,23804.805112942853,20883.686219930314
Croatia,2008,9027.055835306719,4658.0550407737355,8793.990480214716,4424.989685681732,6468.88610441592,2099.8853098829377,8920.067624344065,4551.066829811082,8615.676795276959,4246.676000743977,5579.015905297977,1210.0151107649936,8772.140680561795,4403.139886028813,8369.131888973177,4000.1310944401953,4348.6394205057695,-20.36137402721336
Hungary,2008,9085.316503840912,6269.082633137294,8809.837062054567,5993.603191350948,6061.601678519353,3245.367807815736,9013.640590848489,6197.40672014487,8690.377207067195,5874.143336363575,5465.440116487137,2649.206245783519,8849.536061820729,6033.302191117108,8416.869658687592,5600.635787983974,4100.507208383219,1284.2733376796014
Ireland,2008,39871.69330662338,38088.05188160435,39160.90099253774,37377.259567518704,32069.901478207128,30286.26005318809,39946.4218408126,38162.78041579357,39285.44854951977,37501.80712450073,32691.45309590793,30907.811670888892,39693.71040357892,37910.06897855989,38864.26282079697,37080.62139577793,30589.535744948425,28805.894319929386
Italy,2008,24979.3837492365,19371.147817170087,24596.764201260376,18988.528269193965,20779.678710736687,15171.442778670267,24921.821086925404,19313.585154858993,24500.826430741887,18892.59049867547,20300.903551196763,14692.66761913035,24775.33860503513,19167.10267296872,24256.68896092476,18648.45302885835,19082.54132087131,13474.305388804896
Lithuania,2008,9403.324332434271,8480.896727110865,9172.934701589518,8250.507096266114,6874.5238605430795,5952.096255219673,9219.654047855243,8297.226442531839,8866.817560624477,7944.389955301072,5346.853557060391,4424.4259517369865,9069.708162818024,8147.280557494619,8616.90775222911,7694.480146905705,4099.684608496842,3177.2570031734367
Latvia,2008,7712.896732381,5704.449008353828,7621.162467093407,5612.714743066233,6706.003963390987,4697.556239363815,7464.12008171785,5455.672357690675,7206.534715988156,5198.086991960982,4636.814043589545,2628.3663195623703,7233.187245386233,5224.73952135906,6821.646655435462,4813.198931408289,2716.0393414027662,707.5916173755932
Malta,2008,14128.199354145825,13076.980835245886,13815.963433472607,12764.744914572668,10701.038415327881,9649.819896427942,14098.764312952393,13047.545794052452,13766.905031483553,12715.686512583614,10456.213628258694,9404.995109358755,13600.473104807861,12549.254585907922,12936.419684576002,11885.201165676062,6311.696277977206,5260.4777590772665
Netherlands,2008,37186.757241868974,34150.3545206063,36639.480751976844,33603.078030714154,31179.746245671926,28143.343524409254,37130.54577676471,34094.143055502034,36545.79497680307,33509.39225554039,30712.20961528092,27675.806894018246,36954.24645603499,33917.843734772316,36251.962775586864,33215.56005432419,29245.847011116282,26209.444289853604
Norway,2008,66231.28397648648,65141.92659187868,65952.71628703638,64863.35890242857,63173.67195656995,62084.31457196214,65778.55702442586,64689.19963981804,65198.17136693534,64108.81398232752,59408.13349816092,58318.776113553104,65695.57211634464,64606.21473173683,65059.86318679998,63970.50580219217,58717.90981824732,57628.552433639496
Poland,2008,7228.568869745625,4318.9384149672305,6816.724556278616,3907.0941015002213,2708.0872385958305,-201.54321618256384,7158.20317826296,4248.572723484566,6699.448403807507,3789.8179490291136,2122.8233919781114,-786.8070628002813,7158.888902267969,4249.258447489575,6700.5912771491885,3790.960822370795,2128.526874178503,-781.1035805998913
Portugal,2008,15448.522202214861,13033.216965455198,15179.468011877565,12764.162775117902,12495.332160655504,10080.02692389584,15374.704378966693,12959.39914220703,15056.438306463953,12641.13306970429,11881.355345067566,9466.0501083079,15046.44271694674,12631.137480187075,14509.335536430695,12094.030299671032,9151.051997473029,6735.746760713362
Romania,2008,4931.928483542407,1180.2069982447697,4690.788645612941,939.0671603153024,2285.1316910308765,-1466.5897942667616,4822.07053859473,1070.349053297092,4507.6920707001445,755.9705854025065,1371.3925933708288,-2380.3288919268093,4795.723478727879,1044.0019934302418,4463.780304255394,712.0588189577552,1152.2519684465474,-2599.4695168510907
Sweden,2008,38209.37655226922,37594.74552710699,38142.663575023515,37528.03254986127,37477.122206786575,36862.491181624326,37842.10591159659,37227.47488643436,37530.54584056913,36915.91481540689,34422.36322722374,33807.7322020615,37573.66807037233,36959.03704521009,37083.14943852869,36468.51841336645,32189.64213513621,31575.011109973973
Slovenia,2008,15387.334989993875,8828.561110478247,15085.67389886627,8526.900019350644,12076.245394521826,5517.471515006199,15207.999414237596,8649.225534721967,14786.781272605805,8228.007393090176,10584.628859660075,4025.8549801444483,15048.533591504418,8489.759711988792,14521.004901383843,7962.231021868216,9258.278207085717,2699.5043275700914
Slovakia,2008,10238.640493119132,7253.0046366635515,9902.882458988583,6917.246602533007,6553.296356590994,3567.6605001354164,10164.14972909363,7178.513872638051,9778.731185612747,6793.09532915717,5933.722382791576,2948.0865263359988,10040.690651969546,7055.054795513969,9572.96605707261,6587.330200617034,4906.856407981752,1921.220551526174
Belgium,2009,29363.201488224768,24887.86870115353,28874.006641724976,24398.673854653734,23993.705673072272,19518.372886001034,29348.94229119378,24873.609504122538,28850.24131333999,24374.908526268748,23875.105367608165,19399.772580536926,28805.40333305341,24330.070545982173,27944.343049772717,23469.010262701475,19354.24165228195,14878.908865210713
Bulgaria,2009,2239.50990214566,-3008.3315979027525,1990.0870872688647,-3257.7544127795472,-498.20242304963944,-5746.043923098052,2122.4119733768807,-3125.4295266715326,1794.9238726542321,-3452.9176273941794,-1472.1597988407573,-6720.001298889168,2129.6275393803153,-3118.213960668097,1806.9498159932898,-3440.8916840551224,-1412.1446149391757,-6659.986114987585
