countries,Year,GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro]
Czechia,1996,-1652.331007860991,-12521.275590853284,-2278.2779659315684,-13147.222548923859,-8522.844047635655,-19391.78863062795,,,,,,,,,,,,
Germany,1996,21140.796596226926,16746.61898702135,20565.267572050816,16171.089962845233,14823.68040229389,10429.502793088312,,,,,,,,,,,,
Denmark,1996,25189.383004505595,21734.4836392957,24409.801505495972,20954.90214028608,16632.547979661882,13177.648614451991,25085.75624023453,21630.856875024638,24237.090231710867,20782.190866500972,15770.636480010482,12315.737114800591,25108.07787369785,21653.17850848796,24274.29295414973,20819.39358893984,15956.295780562545,12501.396415352652
Estonia,1996,-346.75191412806146,-1472.1373309701428,-856.6383715316954,-1982.0237883737766,-5943.36279182033,-7068.748208662412,,,,,,,,,,,,
Greece,1996,7356.042826764405,3952.6497631543853,6918.955772826163,3515.562709216144,2558.492068061334,-844.900995548685,,,,,,,,,,,,
Spain,1996,9566.422170295124,5061.05420917217,9269.63334289916,4764.265381776207,6308.811469591799,1803.4435084688462,,,,,,,,,,,,
Finland,1996,18721.53234700574,17272.99383211389,18338.57051480742,16890.031999915573,14518.070331686089,13069.531816794239,,,,,,,,,,,,
France,1996,17592.468401698272,12454.559205939247,17223.632546119647,12085.723350360622,13544.05579641861,8406.14660065958,,,,,,,,,,,,
Croatia,1996,640.2747046767777,-3769.3217839471918,502.48030425435223,-3907.116184369615,-872.1828809122214,-5281.77936953619,,,,,,,,,,,,
Hungary,1996,-99.94654095941472,-6385.085636991486,-413.75970410112967,-6698.898800133201,-3544.419593538715,-9829.558689570787,-132.62839949777234,-6417.7674955298435,-468.2294683317259,-6753.368564363798,-3816.249655032359,-10101.388751064433,-177.25724166375835,-6462.396337695828,-542.6108719417034,-6827.749967973774,-4187.448278762151,-10472.587374794224
