countries,Year,GrDP (Territorial & Low GHG with VOLY) scenario [Million Euro],GrDP (Territorial & Low GHG with VSL) scenario [Million Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Million Euro],GrDP (Territorial & Central GHG with VSL) scenario [Million Euro],GrDP (Territorial & High GHG with VOLY) scenario [Million Euro],GrDP (Territorial & High GHG with VSL) scenario [Million Euro],GrDP (Residential & Low GHG with VOLY) scenario [Million Euro],GrDP (Residential & Low GHG with VSL) scenario [Million Euro],GrDP (Residential & Central GHG with VOLY) scenario [Million Euro],GrDP (Residential & Central GHG with VSL) scenario [Million Euro],GrDP (Residential & High GHG with VOLY) scenario [Million Euro],GrDP (Residential & High GHG with VSL) scenario [Million Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Million Euro],GrDP (Footprint & Low GHG with VSL) scenario [Million Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Million Euro],GrDP (Footprint & Central GHG with VSL) scenario [Million Euro],GrDP (Footprint & High GHG with VOLY) scenario [Million Euro],GrDP (Footprint & High GHG with VSL) scenario [Million Euro]
Slovenia,2004,20106.245059,5307.202848000001,19551.794239000003,4752.752028000003,14020.487249,-778.5549619999983,,,,,,,,,,,,
Slovakia,2004,22245.726199999997,3671.1103860000003,20476.892419999996,1902.2766059999994,2830.6697099999983,-15743.946104000002,21699.912183349996,3125.2963693499987,19567.202392249998,992.5865782499968,-1709.1167141999977,-20283.732528199995,21492.28938335,2917.6735693499977,19221.164392249997,646.5485782499964,-3436.011114199995,-22010.6269282
Belgium,2005,269880.06165499997,206196.849185,263846.63103499997,200163.418565,203655.977945,139972.765475,,,,,,,,,,,,
Bulgaria,2005,-6006.439401999996,-62210.129691,-7937.745141999996,-64141.435431,-27204.819072,-83408.509361,,,,,,,,,,,,
Cyprus,2005,13716.235336,13073.038623,13334.399895999999,12691.203183,9525.136815999998,8881.940103,,,,,,,,,,,,
Czechia,2005,79250.435338,34386.490063000005,73294.586698,28430.641422999994,13877.906218000004,-30986.039057,,,,,,,,,,,,
Germany,2005,2124217.618709,1896619.369889,2082519.201809,1854920.952989,1666527.852259,1438929.603439,2121052.50778604,1893454.25896604,2077244.0169374,1849645.7681174001,1640202.1677569202,1412603.9189369201,2109476.61688604,1881878.3680660399,2057950.8654374,1830352.6166174,1543920.1545569198,1316321.90573692
Denmark,2005,202892.753117,193050.23003799998,199827.251237,189984.72815799998,169245.220577,159402.697498,200990.34464455998,191147.82156556,196656.5704496,186814.0473706,153422.01359988,143579.49052088,200025.96584456,190183.44276556,195049.2724496,185206.74937059998,145400.83119988,135558.30812087998
Estonia,2005,9304.483187,8276.427941,8616.236746999999,7588.181500999999,1750.1591669999998,722.1039209999999,,,,,,,,,,,,
Greece,2005,169074.48368099998,127904.12177299999,163479.274761,122308.91285299999,107660.40482099999,66490.04291299998,,,,,,,,,,,,
Spain,2005,824444.700761,667829.017205,807880.826441,651265.142885,642636.461201,486020.777645,,,,,,,,,,,,
Finland,2005,158566.340524,152767.618741,156829.84968400002,151031.127901,139506.286304,133707.564521,,,,,,,,,,,,
France,2005,1628331.410606,1409906.518611,1607343.924506,1388919.032511,1397968.765556,1179543.873561,,,,,,,,,,,,
Croatia,2005,26608.413185999998,6439.674154999997,25688.287266,5519.548234999998,16508.935825999997,-3659.803205000004,,,,,,,,,,,,
Hungary,2005,72302.14031399999,40719.507129,69321.952614,37739.319428999996,39591.032463999996,8008.399279000005,71660.76136614,40078.12818114,68252.9877009,36670.3545159,34256.38851672,2673.7553317199927,70531.52416613999,38948.89098113999,66370.9257009,34788.2925159,24864.002916719997,-6718.6302682800015
Ireland,2005,159472.58738299998,149564.210917,156145.242803,146236.86633699998,122951.019493,113042.64302699998,,,,,,,,,,,,
Italy,2005,1317287.6452930002,984989.515018,1293824.765713,961526.6354380001,1059754.609903,727456.4796280001,,,,,,,,,,,,
Lithuania,2005,18453.491850000002,15347.228061000002,17683.83765,14577.573861,10005.620750000002,6899.356961000001,,,,,,,,,,,,
Latvia,2005,5809.326895,1145.415978000001,5596.084494999999,932.1735779999999,3468.737695,-1195.1732219999994,,,,,,,,,,,,
Malta,2005,4688.102565,4217.275256000001,4562.221425000001,4091.3941160000004,3306.4071950000007,2835.5798860000004,4676.098066830001,4205.270757830001,4542.2139280500005,4071.3866190500003,3206.5602578400003,2735.7329488400005,4635.79066683,4164.96335783,4475.03492805,4004.20761905,2871.3050578400007,2400.4777488400005
Netherlands,2005,510821.748784,455451.740802,501545.430544,446175.422562,409003.112864,353633.104882,509925.22923952,454555.22125752,500051.2313032,444681.2233212,401546.34712895995,346176.33914696,507507.50973952,452137.50175752,496021.6988032,440651.6908212,381437.06112896,326067.05314696
Norway,2005,243767.73224588233,238325.36742788236,242311.87784588235,236869.51302788235,227787.99704588234,222345.63222788234,,,,,,,,,,,,
Poland,2005,154809.749992,37823.253131000005,139973.035792,22986.53893099999,-8040.851108000003,-125027.347969,,,,,,,,,,,,
Portugal,2005,139101.219484,108986.06700000001,135314.292424,105199.13994000002,97535.18675400002,67420.03427000002,139179.99404959002,109064.84156559,135445.58336665,105330.43088265002,98190.39107732002,68075.23859332003,135462.98144959,105347.82896559002,129250.56236665002,99135.40988265001,67274.28627732002,37159.13379332003
Romania,2005,33390.653395999994,-45213.299006,28441.678735999994,-50162.273665999994,-20930.235134000002,-99534.18753600001,,,,,,,,,,,,
Sweden,2005,310929.152336,304762.327347,309956.610836,303789.78584699996,300254.351586,294087.52659699996,,,,,,,,,,,,
Slovenia,2005,21347.610025,6212.889596000001,20784.020425,5649.299996000002,15161.543225,26.82279600000038,,,,,,,,,,,,
Slovakia,2005,25882.226038,5816.657812000005,23950.930798,3885.3625720000055,4683.961618000001,-15381.606607999995,25580.720242360003,5515.152016360007,23448.421138600002,3382.8529125999994,2176.1991272800005,-17889.369098719995,25579.487395360004,5513.9191693600005,23446.3663936,3380.798167599998,2165.944971280005,-17899.623254719998
Belgium,2006,285543.531065,223047.257003,279622.626845,217126.352783,220554.558555,158058.284493,,,,,,,,,,,,
Bulgaria,2006,-2321.9643859999996,-57174.908694,-4423.198765999998,-59276.14307399999,-25385.513176,-80238.457484,,,,,,,,,,,,
Cyprus,2006,15000.608811999999,14415.655558999999,14608.017172,14023.063919,10691.448192,10106.494939,,,,,,,,,,,,
Czechia,2006,93472.530112,48943.30555800001,87413.507632,42884.28307800001,26967.545272000003,-17561.679281999983,,,,,,,,,,,,
Germany,2006,2221299.966287,1993513.648517,2179603.367147,1951817.049377,1763630.151917,1535843.834147,2217616.17766814,1989829.85989814,2173463.7194489,1945677.4016789,1732990.38626172,1505204.0684917201,2207206.42936814,1979420.11159814,2156114.1389489,1928327.8211789,1646407.71786172,1418621.40009172
Denmark,2006,215068.58487199998,205072.503436,211672.584572,201676.50313599998,177793.438722,167797.35728599998,212559.70194271998,202563.62050671998,207491.11302319999,197495.03158719998,156925.90451655997,146929.82308056,211735.20834272,201739.12690672,206116.9570232,196120.8755872,150068.21171656,140072.13028056
Estonia,2006,11968.260254,11017.028289,11373.670454,10422.438489,5441.929354,4490.697389000001,,,,,,,,,,,,
Greece,2006,188806.335181,148738.570363,183359.811721,143292.046903,129024.25625100001,88956.49143300002,,,,,,,,,,,,
Spain,2006,904469.852786,754143.280122,888285.726506,737959.153842,726829.8000459999,576503.2273820001,,,,,,,,,,,,
Finland,2006,166018.579452,159896.105525,163966.868532,157844.394605,143498.609592,137376.135665,,,,,,,,,,,,
France,2006,1718033.755698,1513227.458819,1697497.329438,1492691.032559,1492622.029368,1287815.732489,,,,,,,,,,,,
Croatia,2006,30914.790113000003,11803.772137000004,29969.864033,10858.846057000002,20543.101473000002,1432.0834969999996,,,,,,,,,,,,
Hungary,2006,73970.995774,43960.192723,70963.223734,40952.420683,40957.116954,10946.313903000002,73424.45348869,43413.650437690005,70052.31992515,40041.51687415,36411.27318411999,6400.47013311999,72219.04928869,42208.24623769,68043.31292515,38032.509874150004,26385.37158411999,-3625.431466880007
Ireland,2006,174485.90123400002,165270.149303,171183.25895400002,161967.507023,138235.470494,129019.71856300002,,,,,,,,,,,,
Italy,2006,1381991.2159000002,1062329.0806800001,1358988.3367,1039326.20148,1129507.2323,809845.0970800001,,,,,,,,,,,,
Lithuania,2006,21428.562382,18277.960344,20627.688321999998,17477.086284,12638.016152,9487.414114,,,,,,,,,,,,
Latvia,2006,9416.694685999999,4794.903364,9216.752846,4594.9615239999985,7222.094965999999,2600.3036439999996,,,,,,,,,,,,
Malta,2006,4932.160397,4454.816686,4804.037297,4326.693586,3525.856847,3048.513136,4920.2781308,4442.9344198,4784.23352,4306.889809,3427.0265694,2949.6828584,4845.3711308,4368.0274198,4659.38852,4182.044809,2803.9905694,2326.6468584
Netherlands,2006,544982.425493,489991.07037800003,535922.728553,480931.373438,445541.46622299997,390550.11110800004,544211.88924785,489220.53413285,534638.50147775,479647.14636275,439132.5615808,384141.2064658,540564.76254785,485573.40743285,528559.95697775,473568.60186275,408797.7299808,353806.3748658
Norway,2006,271142.902511,265849.794111,269770.49875100004,264477.390351,256079.137431,250786.029031,,,,,,,,,,,,
Poland,2006,177904.03596100002,54627.14954200003,162200.370781,38923.48436200002,5537.615771000041,-117739.27064799995,,,,,,,,,,,,
Portugal,2006,147850.389158,118652.76568000001,144494.613518,115296.99004,111016.756538,81819.13306000001,147570.68046335,118373.05698535,144028.43236025,114830.80888225,108690.29056980001,79492.6670918,144430.47066335,115232.84718535,138794.74936025,109597.12588225,82571.72016980001,53374.096691800005
Romania,2006,50875.63422600001,-28470.219752999983,45867.22326600001,-33478.63071299999,-4097.638453999985,-83443.49243299998,,,,,,,,,,,,
Sweden,2006,333033.298359,327014.306078,332370.763059,326351.770778,325761.184709,319742.19242800004,,,,,,,,,,,,
Slovenia,2006,24651.762321,11741.048337,24080.900841,11170.186857,18385.877980999998,5475.163997,,,,,,,,,,,,
Slovakia,2006,33259.342611,14617.234889000003,31467.845631,12825.737909000003,13595.530521,-5046.577201,32760.85682523,14118.749103230002,30637.03598805,11994.928266050003,9449.394779040005,-9192.712942959995,32598.89642523,13956.788703230002,30367.101988050003,11724.994266050002,8102.295579040001,-10539.81214296
Belgium,2007,306214.17044300004,247125.56048500002,300432.808703,241344.19874500003,242756.842773,183668.23281500002,,,,,,,,,,,,
Bulgaria,2007,2035.0483570000033,-54440.840889,-191.10788299999695,-56666.997128999996,-22399.666562999995,-78875.555809,,,,,,,,,,,,
Cyprus,2007,16334.6863,15774.609036999998,15926.689059999999,15366.611796999998,11856.43088,11296.353616999999,,,,,,,,,,,,
Czechia,2007,107932.78168900001,63652.329404000004,101782.152589,57501.70030400001,40422.305139000004,-3858.147145999974,,,,,,,,,,,,
Germany,2007,2340351.91304,2118411.322672,2299661.06774,2077720.477372,1893721.44439,1671780.854022,2336294.377124,2114353.786756,2292898.50788,2070957.917512,1859973.050422,1638032.460054,2324315.790224,2102375.199856,2272934.19638,2050993.606012,1760341.629222,1538401.0388540002
Denmark,2007,223282.126383,213342.26566799998,220070.409903,210130.54918799998,188029.71454299998,178089.853828,220712.86927608,210773.00856108,215788.3147248,205848.45400979999,166660.02051084,156720.15979583998,219740.97457607999,209801.11386108,214168.49022479999,204228.6295098,158576.32491084,148636.46419584
Estonia,2007,14133.602657,12914.651117,13371.242597,12152.291056999999,5765.7934270000005,4546.8418870000005,,,,,,,,,,,,
Greece,2007,203568.9855,164167.81492900001,197959.3185,158558.14792900003,141996.212,102595.04142900002,,,,,,,,,,,,
Spain,2007,976114.931836,827237.562714,959371.019896,810493.650774,792330.565066,643453.195944,,,,,,,,,,,,
Finland,2007,179895.283473,174048.971396,177508.864473,171662.552396,153701.493973,147855.181896,,,,,,,,,,,,
France,2007,1816575.54844,1621574.032081,1796365.02412,1601363.507761,1594740.98388,1399739.4675210002,,,,,,,,,,,,
Croatia,2007,34527.745403,15353.000777000001,33474.189263,14299.444637,22963.712532999998,3788.9679069999984,,,,,,,,,,,,
Hungary,2007,84663.83256600001,55299.99337800001,81739.710246,52375.87105800001,52568.109006000006,23204.269818000015,84043.00121241,54679.16202441001,80704.99132335,51341.15213535001,47404.36885868,18040.52967068,82556.00591241001,53192.16672441001,78226.66582335,48862.82663535001,35036.34445868,5672.505270680005
Ireland,2007,187030.837559,178282.758203,183820.59737899998,175072.51802299998,151794.629869,143046.550513,,,,,,,,,,,,
Italy,2007,1430160.124111,1077130.095691,1406413.776451,1053383.7480310001,1169515.6890810002,816485.6606610001,,,,,,,,,,,,
Lithuania,2007,26449.315405,23470.897537,25641.076225,22662.658357,17577.928215,14599.510347000001,,,,,,,,,,,,
Latvia,2007,14693.849022,10075.364137,14457.207162,9838.722277,12096.422892,7477.938007000001,,,,,,,,,,,,
Malta,2007,5309.147581,4822.7325900000005,5177.335621,4690.9206300000005,3862.3544010000005,3375.9394100000004,5296.67628118,4810.26129018,5156.5501213,4670.1351303,3758.62485964,3272.20986864,5170.43058118,4684.015590180001,4946.1406213,4459.7256303,2708.5812596400006,2222.166268640001
Netherlands,2007,580427.227998,527485.836025,571442.849238,518501.457265,481812.975418,428871.583445,579524.81672691,526583.42475391,569938.83045285,516997.43847985,474307.20548068,421365.81350767997,577851.13352691,524909.74155391,567149.35845285,514207.96647985,460386.41188068,407445.01990768
Norway,2007,289009.7061260588,283675.0825760588,287571.5391860588,282236.91563605884,273224.1118560588,267889.4883060588,,,,,,,,,,,,
Poland,2007,219212.340357,101613.23185499999,203249.053017,85649.94451500001,43996.257886999985,-73602.850615,,,,,,,,,,,,
Portugal,2007,158008.27996299998,130500.03080099999,154815.593263,127307.344101,122964.742613,95456.493451,157620.31658671,130112.06742471,154168.98763585,126660.73847385,119737.87262608,92229.62346408,154271.59568671,126763.34652471,148587.78613585,121079.53697385,91885.01942608,64376.77026408
Romania,2007,84255.578544,11388.94075600001,79131.933024,6265.295236000005,28017.46938400001,-44849.168404,,,,,,,,,,,,
Sweden,2007,354622.138238,348738.55395499995,353919.706298,348036.122015,346912.111468,341028.52718499996,,,,,,,,,,,,
Slovenia,2007,28064.81447,14708.903666000002,27499.30463,14143.393826,21857.67075,8501.759946000002,,,,,,,,,,,,
Slovakia,2007,44937.037256,28045.750961000005,43199.860556,26308.574261000005,25869.454906000003,8978.168611000008,44467.98692747,27576.700632470005,42418.11000845001,25526.823713450005,21968.14741156,5076.861116560001,43985.224227470004,27093.937932470006,41613.505508450005,24722.219213450004,17952.787811560003,1061.5015165600053
Belgium,2008,315910.544735,261658.83458899998,310128.594995,255876.88484899997,252446.76306499998,198195.05291899998,315801.70227532997,261549.99212933,309947.19089554995,255695.48074954998,251541.47022584,197289.76007984,308612.79747532995,254361.08732932998,297965.68289555,243713.97274954998,191748.03982583998,137496.32967983998
Bulgaria,2008,8304.349177,-38052.795954,6065.527836999998,-40291.617293999996,-16269.380293000002,-62626.52542399999,7428.092350239996,-38929.05278076,4605.0997924,-41752.0453386,-23557.611677479996,-69914.75680848,7366.478980240001,-38990.66615075999,4502.410842400001,-41854.73428860001,-24070.07843748,-70427.22356848
Cyprus,2008,17830.544049,17338.452737,17416.386669,16924.295357,13284.673758999998,12792.582446999999,17778.95751393,17286.86620193,17330.409110549997,16838.31779855,12855.604800639998,12363.513488639997,17582.69991393,17090.60860193,17003.31311055,16511.22179855,11223.240000639998,10731.148688639998
Czechia,2008,133103.387973,92186.406867,127222.659693,86305.678587,68555.394233,27638.413127000007,133216.66765119002,92299.68654519001,127411.45915665,86494.47805065,69497.59346112,28580.612355120014,133139.00755119,92222.02644519,127282.02565665,86365.04455065,68851.65866112,27934.677555119997
Germany,2008,2390474.863659,2173217.146829,2350006.368879,2132748.652049,1946284.956669,1729027.2398390002,2385857.60511429,2168599.88828429,2342310.93797115,2125053.22114115,1907881.0919479202,1690623.37511792,2374166.44941429,2156908.73258429,2322825.67847115,2105567.96164115,1810640.36834792,1593382.65151792
Denmark,2008,231996.644521,222435.64475,228995.421541,219434.42177000002,199054.649431,189493.64966,229478.83803799,219917.83826699,224799.07740265,215238.07763165,178112.89392152,168551.89415052,228401.05923799,218840.05946699,223002.77940265,213441.77963165002,169148.51152152,159587.51175052
Estonia,2008,14788.247041999999,13825.712481999999,14167.423201999998,13204.888641999998,7973.966321999998,7011.431761999998,14332.48525181,13369.95069181,13407.820218349998,12445.28565835,4183.18571788,3220.65115788,14352.75172181,13390.21716181,13441.597668349998,12479.063108349997,4351.751277880001,3389.216717880001
Greece,2008,214251.90708499998,177111.801204,208827.205985,171687.100104,154709.354535,117569.248654,213383.20117805,176243.09529705,207379.36280675,170239.25692575,147483.9276264,110343.8217454,214257.93727805,177117.83139705,208837.25630675,171697.15042575,154759.5104264,117619.4045454
Spain,2008,1032520.007899,927648.722262,1017185.102719,912313.817082,864201.167709,759329.8820720001,1029279.11048029,924407.82484329,1011783.60702115,906912.3213841501,837245.1320359199,732373.84639892,1025663.98148029,920792.69584329,1005758.39202115,900887.10638415,807176.44003592,702305.15439892
Finland,2008,188059.507769,182721.321519,186124.177169,180785.990919,166816.950469,161478.764219,186216.14446715,180877.95821715,183051.90499925,177713.71874925,151484.8493552,146146.6631052,184700.78026715,179362.59401715,180526.29799925,175188.11174925,138880.86775520002,133542.6815052
France,2008,1871765.515,1684792.894239,1851755.77504,1664783.1542790001,1652134.79782,1465162.177059,1866044.82397024,1679072.20320924,1842221.2899904,1655248.6692294,1604553.17719152,1417580.55643052,1856321.37247024,1669348.75170924,1826015.5374904,1639042.9167294,1523678.75519152,1336706.13443052
Croatia,2008,38924.366869000005,20085.379620000003,37919.39674900001,19080.409500000005,27893.623409000003,9054.636160000002,38463.037233940006,19624.049984940004,37150.5140239,18311.526774900005,24056.532476120003,5217.545227119997,37825.18113394,18986.193884940003,36087.4205239,17248.433274900006,18751.189676120004,-87.7975728800011
Hungary,2008,91265.647493,62975.448952,88498.346033,60208.147492,60891.21956299999,32601.021022,90545.63420495,62255.43566395,87298.32388625,59008.125345249995,54902.537611600004,26612.339070600006,88897.13840495,60606.93986394999,84550.83088625,56260.63234525,41191.2392116,12901.040670600007
Ireland,2008,177738.638913,169787.584596,174570.093813,166619.039496,142960.084363,135009.030046,178071.76115720998,170120.70684021,175125.29755335,167174.24323635,145730.81541008002,137779.76109308001,176945.23295720998,168994.17864021,173247.75055335,165296.69623635,136360.96181008,128409.90749308001
Italy,2008,1465112.6726209999,1136173.511527,1442670.9361009998,1113731.775007,1218787.897961,889848.7368669999,1461736.4569837998,1132797.2958898,1437043.910039,1108104.7489449999,1190706.3583753998,861767.1972814,1453144.8382837998,1124205.6771898,1422724.5455389998,1093785.384445,1119245.9107754,790306.7496814
Lithuania,2008,30209.166767,27245.77123,29469.015886999998,26505.620349999997,22085.129727,19121.73419,29619.106692409998,26655.711155409997,28485.582429349997,25522.18689235,17177.328471679997,14213.93293468,29137.38979241,26173.994255409998,27682.72092935,24719.32539235,13170.667271679999,10207.271734679998
Latvia,2008,16905.204187,12503.068381000001,16704.140107,12302.004301,14698.286547,10296.150741000001,16359.93303631,11957.79723031,15795.35485585,11393.21904985,10163.01538888,5760.879582879999,15853.772136309999,11451.63633031,14951.75335585,10549.617549850002,5953.042188879997,1550.906382879999
Malta,2008,5761.931799,5333.211248,5634.591999,5205.871448,4364.225899,3935.505348,5749.92724728,5321.20669628,5614.5844128,5185.8638618,4264.37851644,3835.65796544,5546.70814728,5117.98759628,5275.8859128,4847.1653618,2574.11171644,2145.39116544
Netherlands,2008,610063.590069,560250.191902,601085.3008890001,551271.902722,511516.17787899997,461702.77971200005,609141.41855559,559328.0203885899,599548.34836665,549734.95019965,503846.05291032,454032.65474332,606249.15785559,556435.75968859,594727.91386665,544914.51569965,479789.78931032005,429976.39114332
Norway,2008,313748.9177461765,308588.4455351765,312429.29496617644,307268.82275517646,299264.48675617645,294104.01454517647,311604.27275795647,306443.8005469565,308854.88665247645,303694.41444147646,281426.48717161646,276266.0149606165,311211.1590579565,306050.6868469565,308199.69715247647,303039.2249414765,278156.77957161644,272996.30736061645
Poland,2008,275521.535983,164619.106126,259823.825983,148921.396126,103220.48098300002,-7681.948873999994,272839.50254773,161937.07269072998,255353.77025755,144451.34040055,80912.77431503998,-29989.655541959975,272865.63935773,161963.20950072998,255397.33160754998,144494.90175055,81130.16619503999,-29772.263661960023
Portugal,2008,163033.49184899998,137543.956897,160194.07176899997,134704.536817,131867.476209,106377.941257,162254.46733602,136764.93238402,158895.69758069998,133406.1626287,125387.97073596,99898.43578396,158790.21073602,133300.67578402,153121.93658069998,127632.4016287,96574.15393596,71084.61898396
Romania,2008,101772.612945,24354.114304000017,96796.58146500001,19378.082824000012,47154.74360500001,-30263.755035999988,99505.64371635001,22087.14507535001,93018.29941725,15599.800776250006,28299.317004800003,-49119.181636199995,98961.96001635,21543.461375350016,92112.15991725001,14693.66127625,23777.249404799993,-53641.249236200005
Sweden,2008,350873.91559499997,345229.803759,350261.29519499996,344617.18335899996,344149.677395,338505.56555899995,347501.29611245997,341857.18427646,344640.2627241,338996.1508881,316098.04868308,310453.93684708,345036.25101246,339392.13917646,340531.85422409995,334887.74238809996,295595.13388308,289951.02204708
Slovenia,2008,30932.682522999996,17747.782714999998,30326.262582999996,17141.362774999998,24276.501752999997,11091.601944999999,30572.16977446,17387.269966459997,29725.408002099997,16540.508194099995,21277.951273079998,8093.05146508,30251.600574459997,17066.70076646,29191.126002099998,16006.226194099996,18611.62967308,5426.72986508
Slovakia,2008,55043.586564000005,38992.617119,53238.529884,37187.56043900001,35230.94062400001,19179.971179000007,54643.11944919001,38592.15000419001,52571.08469265001,36520.115247650014,31900.07128812001,15849.101843120014,53979.395549190005,37928.42610419001,51464.87819265001,35413.90874765001,26379.57408812001,10328.604643120008
Belgium,2009,315744.854659,267621.243173,310484.503339,262360.891853,258006.236599,209882.625113,315591.52437259,267467.91288659,310228.95286165,262105.34137564996,256730.91802632,208607.30654032002,309746.80647258996,261623.19498659,300487.75636165,252364.14487565,208117.70882632,159994.09734032
Bulgaria,2009,16722.686940999996,-22463.570033000004,14860.217100999998,-24326.039873,-3720.1367790000004,-42906.393753,15848.30277223,-23337.954201770008,13402.910153049997,-25783.34682095,-10992.792404959997,-50179.049378959986,15902.182262229999,-23284.07471177,13492.709303049996,-25693.54767095,-10544.651884960003,-49730.908858959985
Cyprus,2009,17573.934445,17131.007491,17170.907065,16727.980111,13150.229155,12707.302201,17520.67213828,17077.74518428,17082.1365538,16639.2095998,12707.22203244,12264.295078440002,17504.21590828,17061.28895428,17054.7095038,16611.782549800002,12570.347992440002,12127.421038440001
Czechia,2009,121869.334828,81878.734597,116389.287388,76398.68715700001,61719.29030800001,21728.690077000007,121994.46976429,82003.86953329001,116597.84561515,76607.24538415,62760.09517492,22769.49494392,122049.01201429,82058.41178329001,116688.74936515,76698.14913415,63213.74817492001,23223.147943920005
Germany,2009,2301234.124639,2098075.331994,2263930.009399,2060771.216754,1891777.0502189999,1688618.257574,2296445.4962014,2093286.7035564,2255948.962003,2052790.1693580002,1851947.8232141999,1648789.0305692,2284834.9364014,2081676.1437564,2236598.029003,2033439.236358,1755377.4528142,1552218.6601692
Denmark,2009,222479.814282,214127.667005,219624.351462,211272.204185,191137.710472,182785.563195,220179.69792402,211827.55064702,215790.8241987,207438.6769217,172006.58393896002,163654.43666196,219337.33122402,210985.18394702,214386.8796987,206034.7324217,165000.23233896,156648.08506196
Estonia,2009,12588.529003,11751.079179,12096.801403,11259.351579,7191.233203,6353.783379,12174.31525606,11336.86543206,11406.4451581,10568.9953341,3746.026799880001,2908.5769758800016,12196.14601606,11358.69619206,11442.8297581,10605.379934100001,3927.6032798800006,3090.1534558800013
Greece,2009,211780.75689400002,177913.115154,206663.72595400002,172796.08421400003,155615.25062400004,121747.60888400002,210937.20292435001,177069.56118435002,205257.80267125,171390.16093125002,148599.0239558,114731.38221580001,210832.52842435002,176964.88668435003,205083.34517125002,171215.70343125,147728.3979558,113860.75621580001
Spain,2009,998876.307187,902012.116712,985093.792147,888229.601672,847596.7968669999,750732.606392,995803.92437455,898939.73389955,979973.15412625,883108.96365125,822042.3747444,725178.1842694001,992713.97597455,895849.7854995499,974823.24012625,877959.04965125,796341.8515444,699477.6610694
Finland,2009,176822.574669,171838.935251,175553.503089,170569.863671,162893.003279,157909.363861,174207.09173859,169223.45232059,171194.36487165,166210.72545365,141138.82779432,136155.18837632,173332.16663859,168348.52722059,169736.15637165,164752.51695365,133861.67299432002,128878.03357632001
France,2009,1822531.052128,1646144.834999,1802997.936148,1626611.719019,1608131.850538,1431745.633409,1817929.55171596,1641543.33458696,1795328.7687946,1618942.5516656,1569859.05346008,1393472.83633108,1809487.63991596,1633101.42278696,1781258.9157946,1604872.6986656,1499643.78706008,1323257.56993108
Croatia,2009,36521.914153000005,18543.252534000003,35613.196273,17634.534654000003,26547.653613000002,8568.991994000004,36055.76039059,18077.098771590005,34836.27333565,16857.611716650004,22670.43819232,4691.776573319999,35813.90339059,17835.241771590005,34433.17833565,16454.516716650003,20658.802192320003,2680.140573320001
Hungary,2009,76976.718311,46511.52779400001,74401.750811,43936.56029400001,48713.384561000006,18248.194044000003,76349.6854535,45884.49493650001,73356.6960485,42891.505531500006,43498.06365100001,13032.873134000009,75228.36735350001,44763.17683650001,71487.83254850001,41022.64203150001,34171.544851000006,3706.3543340000033
Ireland,2009,161068.77537000002,154318.131167,158167.20453000002,151416.560327,129220.58115000001,122469.93694700001,161438.70019947,154688.05599647,158783.74591245002,152033.10170945,132297.41623956,125546.77203656001,160768.20379947,154017.55959647,157666.25191245,150915.60770945,126720.58903956001,119969.94483656001
Italy,2009,1419137.243877,1110562.8627839999,1399132.056297,1090557.675204,1199556.494487,890982.113394,1415978.98003092,1107404.5989379198,1393868.2832201999,1085293.9021271998,1173287.76027516,864713.3791821599,1407142.39213092,1098568.01103792,1379140.6367201998,1070566.2556272,1099789.7910751598,791215.4099821599
Lithuania,2009,24881.565793,22135.315413,24352.469533,21606.219153,19074.104463,16327.854083,24287.26639297,21541.01601297,23361.97053295,20615.72015295,14131.042786560001,11384.792406560002,23758.20499297,21011.95461297,22480.20153295,19733.95115295,9730.59558656,6984.345206560003
Latvia,2009,12018.061312000002,7571.417494000001,11724.194032,7277.550214000001,8792.518072,4345.874254,11684.978806930001,7238.334988930001,11169.05652355,6722.412705549999,6022.117553640001,1575.47373564,11397.371206930002,6950.727388930001,10689.71052355,6243.06670555,3629.95275364,-816.6910643599986
Malta,2009,5875.3040200000005,5546.011634,5753.643040000001,5424.350654000001,4539.92993,4210.637544000001,5863.890255820001,5534.597869820001,5734.6200997000005,5405.3277137000005,4444.99639936,4115.70401336,5730.714555820001,5401.422169820001,5512.660599700001,5183.3682137000005,3337.3127993600006,3008.0204133600005
Netherlands,2009,589989.427753,544652.948898,581250.247513,535913.768658,494066.520833,448730.04197799996,589138.21031278,543801.73145778,579831.5517793,534495.0729243,486986.55355244,441650.07469744,587653.12391278,542316.64505778,577356.4077793,532019.9289243,474634.40635244,429297.92749744
Norway,2009,275044.7243861765,270213.4033781765,273968.9443661765,269137.6233581765,263236.7579761765,258405.43696817648,272770.5463774865,267939.2253694865,270178.6476850265,265347.3266770265,244321.3726340565,239490.0516260565,272244.4837774865,267413.1627694865,269301.8766850265,264470.5556770265,239945.8678340565,235114.5468260565
Poland,2009,231307.82678999996,125427.916516,216366.86060999997,110486.95033599998,67312.93609999999,-38566.97417400003,228628.32249477,122748.41222077,211901.02011794999,106021.10984394999,45026.26545395999,-60853.644820039975,228987.09489476998,123107.18462077001,212498.97411795,106619.06384394999,48010.34065396001,-57869.56962004001
