countries,Year,GDP [Euro],Population,GrDP (Territorial & Low GHG with VOLY) scenario [Euro],GrDP (Territorial & Low GHG with VSL) scenario [Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Euro],GrDP (Territorial & Central GHG with VSL) scenario [Euro],GrDP (Territorial & High GHG with VOLY) scenario [Euro],GrDP (Territorial & High GHG with VSL) scenario [Euro],GrDP (Residential & Low GHG with VOLY) scenario [Euro],GrDP (Residential & Low GHG with VSL) scenario [Euro],GrDP (Residential & Central GHG with VOLY) scenario [Euro],GrDP (Residential & Central GHG with VSL) scenario [Euro],GrDP (Residential & High GHG with VOLY) scenario [Euro],GrDP (Residential & High GHG with VSL) scenario [Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Euro],GrDP (Footprint & Low GHG with VSL) scenario [Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Euro],GrDP (Footprint & Central GHG with VSL) scenario [Euro],GrDP (Footprint & High GHG with VOLY) scenario [Euro],GrDP (Footprint & High GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro],GDP per capita [Euro]
Belgium,2000,256376400000.0,10239085.0,210181455979.0,135677004879.0,203999427679.0,129494976579.0,142326335829.0,67821884729.0,,,,,,,,,,,,,20527.367042953545,13250.891547340412,19923.599391840187,12647.123896227056,13900.29830097123,6623.822805358096,,,,,,,,,,,,,25038.995183651663
Belgium,2001,264334900000.00003,10263414.0,220144598518.00003,147798794742.00003,214020809518.00003,141675005742.00003,152928724018.00003,80582920242.00003,,,,,,,,,,,,,21449.451275959444,14400.548856550075,20852.78928804782,13803.88686863845,14900.375646738992,7851.473227329622,,,,,,,,,,,,,25755.06551718561
Belgium,2002,273255900000.00003,10309725.0,230283728735.00003,161287438165.00003,224180799035.00003,155184508465.00003,163296809885.00003,94300519315.00003,,,,,,,,,,,,,22336.553956094856,15644.203716878968,21744.595421798353,15052.245182582468,15839.104329649921,9146.754090434035,,,,,,,,,,,,,26504.6739849996
Belgium,2003,281200200000.0,10355844.0,238714050076.0,170639881689.0,232593376636.0,164519208249.0,171532372556.0,103458204169.0,,,,,,,,,,,,,23051.143883202567,16477.6411936101,22460.108189733255,15886.60550014079,16563.823533456085,9990.32084386362,,,,,,,,,,,,,27153.76940788216
Belgium,2004,296819700000.0,10396421.0,253803804743.0,185722137874.0,247637436143.0,179555769274.0,186120568443.0,118038901574.0,,,,,,,,,,,,,24412.613219780153,17864.04550893043,23819.489047528954,17270.92133667923,17902.369329118166,11353.80161826844,,,,,,,,,,,,,28550.18087474526
Belgium,2005,310037600000.0,10445852.0,269880061655.0,206196849185.0,263846631035.0,200163418565.0,203655977945.0,139972765475.0,,,,,,,,,,,,,25836.098544666344,19739.591292792586,25258.50749512821,19162.000243254453,19496.34916759303,13399.841915719273,,,,,,,,,,,,,29680.451149413184
Belgium,2006,325151500000.0,10511382.0,285543531065.0,223047257003.0,279622626845.0,217126352783.0,220554558555.0,158058284493.0,,,,,,,,,,,,,27165.17495653759,21219.593865297637,26601.889917519886,20656.308826279932,20982.451075890876,15036.869984650924,,,,,,,,,,,,,30933.27785061945
Belgium,2007,343618900000.0,10584534.0,306214170443.0,247125560485.0,300432808703.0,241344198745.0,242756842773.0,183668232815.0,,,,,,,,,,,,,28930.340291126657,23347.797879906662,28384.131857198438,22801.589445978443,22935.052480628812,17352.510069408818,,,,,,,,,,,,,32464.244528856914
Belgium,2008,351743100000.0,10666866.0,315910544735.0,261658834589.0,310128594995.0,255876884849.0,252446763065.0,198195052919.0,315801702275.33,261549992129.33002,309947190895.55,255695480749.55,251541470225.84,197289760079.84,308612797475.33,254361087329.33002,297965682895.55,243713972749.55,191748039825.84,137496329679.84,29616.06011878278,24530.05733727226,29074.0124601734,23988.00967866288,23666.44177071316,18580.438989202637,29605.856328872043,24519.853547361523,29057.0061436555,23971.00336214498,23581.57215304289,18495.56937153237,28931.909098260916,23845.906316750395,27933.760759303623,22847.757977793102,17976.042806372556,12890.040024862035,32975.29939909248
Belgium,2009,346472800000.0,10753080.0,315744854659.0,267621243173.0,310484503339.0,262360891853.0,258006236599.0,209882625113.0,315591524372.59,267467912886.59,310228952861.65,262105341375.65,256730918026.32,208607306540.32,309746806472.58997,261623194986.59,300487756361.65,252364144875.65,208117708826.32,159994097340.32,29363.201488224768,24887.86870115353,28874.006641724976,24398.673854653738,23993.705673072272,19518.372886001034,29348.94229119378,24873.609504122538,28850.241313339993,24374.90852626875,23875.105367608165,19399.772580536926,28805.40333305341,24330.070545982173,27944.343049772717,23469.010262701475,19354.24165228195,14878.908865210713,32220.79627418377
Belgium,2010,363140100000.0,10839905.0,331829067765.0,284207015108.0,326231221245.0,278609168588.0,270386038105.0,222763985448.0,331650047479.71,284027994822.70996,325932854102.85,278310801445.85,268897043986.08,221274991329.08,325255717579.71,277633664922.70996,315275637602.85,267653584945.85,215712458786.08,168090406129.08,30611.805893594086,26218.589102764276,30095.394862316596,25702.17807148679,24943.58005028642,20550.363259456608,30595.290962394047,26202.07417156423,30067.86997698319,25674.65318615338,24806.217765384474,20413.000974554667,30005.40296060805,25612.186169778237,29084.723307339867,24691.50651651006,19899.847718783512,15506.630927953704,33500.30281630697
Belgium,2011,375967800000.0,11000638.0,348009912289.0,305654279002.0,342848043409.0,300492410122.0,291352256249.0,248996622962.0,347812896777.58,305457263490.58,342519684223.3,300164050936.3,289713587550.83997,247357954263.84,340578329577.58,298222696290.58,330462072223.3,288106438936.3,229540361950.84,187184728663.84,31635.429898611335,27785.14109836175,31166.196306886926,27315.90750663734,26485.032618017245,22634.74381776766,31617.520436321967,27767.23163607238,31136.347203071313,27286.058402821727,26336.071376118365,22485.78257586878,30959.87065273669,27109.581852487103,30040.26423042918,26189.975430179595,20866.09539836144,17015.806598111856,34176.908648389304
