countries,Year,External costs (Territorial & Low GHG with VOLY) scenario [Euro],External costs (Territorial & Low GHG with VSL) scenario [Euro],External costs (Territorial & Central GHG with VOLY) scenario [Euro],External costs (Territorial & Central GHG with VSL) scenario [Euro],External costs (Territorial & High GHG with VOLY) scenario [Euro],External costs (Territorial & High GHG with VSL) scenario [Euro],External costs (Residential & Low GHG with VOLY) scenario [Euro],External costs (Residential & Low GHG with VSL) scenario [Euro],External costs (Residential & Central GHG with VOLY) scenario [Euro],External costs (Residential & Central GHG with VSL) scenario [Euro],External costs (Residential & High GHG with VOLY) scenario [Euro],External costs (Residential & High GHG with VSL) scenario [Euro],External costs (Footprint & Low GHG with VOLY) scenario [Euro],External costs (Footprint & Low GHG with VSL) scenario [Euro],External costs (Footprint & Central GHG with VOLY) scenario [Euro],External costs (Footprint & Central GHG with VSL) scenario [Euro],External costs (Footprint & High GHG with VOLY) scenario [Euro],External costs (Footprint & High GHG with VSL) scenario [Euro]
Greece,2000,37505900945.0,77289015494.0,42719423105.0,82502537654.0,94730513225.0,134513627774.0,,,,,,,,,,,,
Greece,2001,29429635980.0,70604762579.0,34683993480.0,75859120079.0,87102464730.0,128277591329.0,,,,,,,,,,,,
Greece,2002,29112257922.0,69755166426.0,34352076282.0,74994984786.0,86625502302.0,127268410806.0,,,,,,,,,,,,
Greece,2003,29384672507.0,70026812376.0,34796678687.0,75438818556.0,88787883197.0,129430023066.0,,,,,,,,,,,,
Greece,2004,29654608770.0,70712480312.0,35094486570.0,76152358112.0,89363743670.0,130421615212.0,,,,,,,,,,,,
Greece,2005,30167816319.0,71338178227.0,35763025239.0,76933387147.0,91581895179.0,132752257087.0,,,,,,,,,,,,
Greece,2006,29055264819.0,69123029637.0,34501788279.0,74569553097.0,88837343749.0,128905108567.0,,,,,,,,,,,,
Greece,2007,29125614500.0,68526785071.0,34735281500.0,74136452071.0,90698388000.0,130099558571.0,,,,,,,,,,,,
Greece,2008,27738492915.0,64878598796.0,33163194015.0,70303299896.0,87281045465.0,124421151346.0,28607198821.95,65747304702.95,34611037193.25,71751143074.25,94506472373.6,131646578254.6,27732462721.95,64872568602.95,33153143693.25,70293249574.25,87230889573.6,124370995454.6
Greece,2009,25753443106.0,59621084846.0,30870474046.0,64738115786.0,81918949376.0,115786591116.0,26596997075.65,60464638815.65,32276397328.75,66144039068.75,88935176044.20001,122802817784.20001,26701671575.65,60569313315.65,32450854828.75,66318496568.75,89805802044.20001,123673443784.20001
Greece,2010,20492088637.0,46721344509.0,25354284577.0,51583540449.0,73860477407.0,100089733279.0,21360656924.23,47589912796.229996,26801898389.05,53031154261.05,81084759669.04,107314015541.04,21017552624.23,47246808496.229996,26230057889.05,52459313761.05,78231003269.04,104460259141.04
Greece,2011,18581227551.0,41337944659.0,23313782091.0,46070499199.0,70526647621.0,93283364729.0,19425701809.53,42182418917.53,24721239188.550003,47477956296.55,77550528755.44,100307245863.44,18665726509.53,41422443617.53,23454613688.550003,46211330796.55,71229464355.44,93986181463.44
Greece,2012,17694677151.0,39192436613.0,22288644711.0,43786404173.0,68118940131.0,89616699593.0,18506217077.19,40003976539.19,23641211254.65,45138970716.65,74868891263.12,96366650725.12,17449959077.19,38947718539.19,21880781254.65,43378540716.65,66083507263.119995,87581266725.12
Greece,2013,16395243497.0,36323752284.0,20647322657.0,40575831444.0,63066874277.0,82995383064.0,16956692492.029999,36885201279.03,21583070982.050003,41511579769.05,67736704013.44,87665212800.44,15800673992.029999,35729182779.03,19656373482.050003,39584882269.05,58121566013.44,78050074800.44
Greece,2014,16275192926.0,35963403777.0,20442843686.0,40131054537.0,62020121506.0,81708332357.0,16769598163.34,36457809014.34,21266852414.9,40955063265.9,66132317448.32001,85820528299.32,15566323363.34,35254534214.34,19261394414.9,38949605265.9,56124127048.32001,75812337899.32
Greece,2015,14469112802.0,33217720780.0,18321017642.0,37069625620.0,56748354022.0,75496962000.0,15301165535.75,34049773513.75,19707772198.25,38456380176.25,63668919617.0,82417527595.0,14101437635.75,32850045613.75,17708225698.25,36456833676.25,53690230417.0,72438838395.0
Greece,2016,13795863022.0,31644232749.0,17500341142.0,35348710869.0,54456920482.0,72305290209.0,14700683600.2,32549053327.2,19008375439.0,36856745166.0,61982729735.600006,79831099462.6,13800445100.2,31648814827.2,17507977939.0,35356347666.0,54495031735.600006,72343401462.6
Greece,2017,14193119792.0,32244356444.0,18057108872.0,36108345524.0,56604999932.0,74656236584.0,15214816298.18,33266052950.18,19759936382.3,37811173034.3,65102920078.64,83154156730.64,14070610298.18,32121846950.18,17852926382.3,35904163034.3,55586032078.64,73637268730.64
Greece,2018,13516007660.0,30614478904.0,17208307040.0,34306778284.0,54043388950.0,71141860194.0,14714938124.9,31813409368.9,19206524481.5,36304995725.5,64015445515.2,81113916759.2,13822511624.9,30920982868.9,17719146981.5,34817618225.5,56592723515.2,73691194759.2
Greece,2019,12802834253.0,29466452975.0,16194440933.0,32858059655.0,50029755193.0,66693373915.0,14109279075.2,30772897797.2,18371848970.0,35035467692.0,60896058158.600006,77559676880.6,13271183775.2,29934802497.2,16975023470.0,33638642192.0,53925233758.600006,70588852480.6
Greece,2020,11093196870.0,26093509812.0,14035225890.0,29035538832.0,43385467780.0,58385780722.0,12335002289.82,27335315231.82,16104901589.7,31105214531.7,53714135081.36,68714448023.36,12087954089.82,27088267031.82,15693154589.7,30693467531.7,51659321481.36,66659634423.36
Greece,2021,11487533028.0,26626936580.0,14512062228.0,29651465780.0,44685341628.0,59824745180.0,12716594022.84,27855997574.84,16560497219.400002,31699900771.4,54908007680.32001,70047411232.32,12297568422.84,27436971974.84,15862121219.400002,31001524771.4,51422778880.32001,66562182432.32001
Spain,1990,219031285303.0,426632752004.0,229691485063.0,437292951764.0,336039668383.0,543641135084.0,,,,,,,,,,,,
Spain,1991,183466681776.0,392226770416.0,194444217996.0,403204306636.0,303958210286.0,512718298926.0,,,,,,,,,,,,
Spain,1992,159456443559.0,367186975179.0,170822004339.0,378552535959.0,284207003549.0,491937535169.0,,,,,,,,,,,,
Spain,1993,147524236255.0,347425366772.0,158416620415.0,358317750932.0,267081119535.0,466982250052.0,,,,,,,,,,,,
Spain,1994,144809306061.0,342066181858.0,156432072741.0,353688948538.0,272383007001.0,469639882798.0,,,,,,,,,,,,
Spain,1995,134491458565.0,324108812970.0,146695661065.0,336313015470.0,268447109815.0,458064464220.0,,,,,,,,,,,,
Spain,1996,125538888403.0,304890261207.0,137353569043.0,316704941847.0,255219073523.0,434570446327.0,,,,,,,,,,,,
Spain,1997,124482687432.0,306902865482.0,136891007832.0,319311185882.0,260678775632.0,443098953682.0,,,,,,,,,,,,
Spain,1998,119042595366.0,294462672585.0,131823896766.0,307243973985.0,259332594066.0,434752671285.0,,,,,,,,,,,,
Spain,1999,117747587953.0,293172917533.0,131478467353.0,306903796933.0,268460335653.0,443885665233.0,,,,,,,,,,,,
Spain,2000,111398443617.0,282224387424.0,125673385137.0,296499328944.0,268082920777.0,438908864584.0,,,,,,,,,,,,
Spain,2001,104318646286.0,269450281032.0,118461645646.0,283593280392.0,259554901166.0,424686535912.0,,,,,,,,,,,,
Spain,2002,108478403395.0,280228256173.0,123446182795.0,295196035573.0,272767601095.0,444517453873.0,,,,,,,,,,,,
Spain,2003,104899048992.0,268166049085.0,120189169152.0,283456169245.0,272726320272.0,435993320365.0,,,,,,,,,,,,
Spain,2004,104658112000.0,266197767724.0,120574328680.0,282113984404.0,279357537940.0,440897193664.0,,,,,,,,,,,,
Spain,2005,102912299239.0,259527982795.0,119476173559.0,276091857115.0,284720538799.0,441336222355.0,,,,,,,,,,,,
Spain,2006,99353147214.0,249679719878.0,115537273494.0,265863846158.0,276993199954.0,427319772618.0,,,,,,,,,,,,
Spain,2007,99424068164.0,248301437286.0,116167980104.0,265045349226.0,283208434934.0,432085804056.0,,,,,,,,,,,,
Spain,2008,77020992101.0,181892277738.0,92355897281.0,197227182918.0,245339832291.0,350211117928.0,80261889519.71,185133175156.71,97757392978.85,202628678615.85,272295867964.08002,377167153601.08,83877018519.71,188748304156.71002,103782607978.85,208653893615.85,302364559964.08,407235845601.08
Spain,2009,70446692813.0,167310883288.0,84229207853.0,181093398328.0,221726203133.0,318590393608.0,73519075625.45,170383266100.45,89349845873.75,186214036348.75,247280625255.59998,344144815730.6,76609024025.45,173473214500.45,94499759873.75,191363950348.75,272981148455.59998,369845338930.6
Spain,2010,67382973267.0,159541879142.0,80424284907.0,172583190782.0,210526893887.0,302685799762.0,70641847083.66,162800752958.66,85855741268.1,178014647143.1,237632447536.68,329791353411.68,73492786083.66,165651691958.66,90607306268.1,182766212143.1,261345019536.68,353503925411.68
Spain,2011,67713120551.0,162653393605.0,80778115991.0,175718389045.0,211116999071.0,306057272125.0,70954169412.89,165894442466.89,86179864094.15,181120137148.15,238074294366.71997,333014567420.72,73297523712.89,168237796766.89,90085454594.15,185025727648.15,257565050766.71997,352505323820.72
Spain,2012,64200108581.0,152593227700.0,77071590281.0,165464709400.0,205479943431.0,293873062550.0,67295869682.93,155688988801.93,82231192117.55,170624311236.55,231228813548.64,319621932667.64,68368967582.93,156762086701.93,84019688617.55,172412807736.55,240154262748.64,328547381867.64
Spain,2013,62169316802.0,149418205237.0,73937316962.0,161186205397.0,191337128082.0,278586016517.0,65228122890.8,152477011325.8,79035327110.0,166284215545.0,216778626344.40002,304027514779.4,66721279590.8,153970168025.8,81523921610.0,168772810045.0,229197897944.40002,316446786379.4
Spain,2014,60243578178.0,143345585403.0,71995357098.0,155097364323.0,189233342038.0,272335349263.0,63488530618.8,146590537843.8,77403611166.0,160505618391.0,216223105196.40002,299325112421.4,65179312018.8,148281319243.8,80221580166.0,163323587391.0,230286112396.40002,313388119621.4
Spain,2015,63027531057.0,150812837890.0,75168256437.0,162953563270.0,196286445347.0,284071752180.0,66471416343.66,154256723176.66,80908065248.1,168693372081.1,224930824556.68,312716131389.68,67158047043.66,154943353876.66,82052449748.1,169837756581.1,230641848156.68,318427154989.68
Spain,2016,58087198487.0,137503309247.0,69715398707.0,149131509467.0,185720538997.0,265136649757.0,61582357133.21001,140998467893.21,75540663117.35,154956773877.35,214791382340.08002,294207493100.08,62467475633.21001,141883586393.21,77015860617.35,156431971377.35,222153320340.08002,301569431100.08
Spain,2017,58805682576.0,138228046378.0,70960350696.0,150382714498.0,192217635036.0,271639998838.0,62363427831.33,141785791633.33002,76889926121.55,156312289923.55,221809040016.84003,301231403818.84,63624032631.33,143046396433.33002,78990934121.55,158413297923.55,232294070416.84003,311716434218.84
Spain,2018,59551624323.0,141145767290.0,71427783303.0,153021926270.0,189906607413.0,271500750380.0,63159966459.630005,144754109426.63,77441686864.04999,159035829831.05,219918849946.24,301512992913.24,64939105359.630005,146533248326.63,80406918364.04999,162001061331.05,234716767146.24,316310910113.24
Spain,2019,54733073681.0,127749582156.0,65845634441.0,138862142916.0,176706657261.00003,249723165736.00003,58341137529.619995,131357646004.62,71859074188.7,144875582663.7,206716585144.76,279733093619.76,60300204429.619995,133316712904.62,75124185688.70001,148140694163.7,223011046344.76,296027554819.76
Spain,2020,50524617256.0,120773464688.0,60106900456.0,130355747888.0,155701582856.0,225950430288.0,53613039670.630005,123861887102.63,65254271147.05,135503118579.05,181389413733.24,251638261165.24,55963657870.630005,126212505302.63,69171968147.05,139420815579.05,200940587333.24,271189434765.24
Spain,2021,52483593341.0,123430743429.0,62745278201.0,133692428289.0,165117800971.0,236064951059.0,55696942536.770004,126644092624.77,68100860193.95,139048010281.95,191844705392.96002,262791855480.96002,58337568636.770004,129284718724.77,72501903693.95001,143449053781.95,213808008192.96002,284755158280.96
Finland,1990,19924467053.0,30724943984.0,21833251553.0,32633728484.0,40875649303.0,51676126234.0,,,,,,,,,,,,
Finland,1991,15195346480.0,25021660108.0,16495656820.0,26321970448.0,29467800450.0,39294114078.0,,,,,,,,,,,,
Finland,1992,12359624716.0,21084197567.0,13853984716.0,22578557567.0,28762004716.0,37486577567.0,,,,,,,,,,,,
Finland,1993,10249831541.0,18539137423.0,11808989561.0,20098295443.0,27363446951.0,35652752833.0,,,,,,,,,,,,
Finland,1994,9880672367.0,17967592436.0,11958775247.0,20045695316.0,32690325407.0,40777245476.0,,,,,,,,,,,,
Finland,1995,9117298765.0,16498113973.0,11093273185.0,18474088393.0,30805970375.0,38186785583.0,,,,,,,,,,,,
Finland,1996,8347376527.0,15759296062.0,10306925587.0,17718845122.0,29855760257.0,37267679792.0,,,,,,,,,,,,
Finland,1997,8048872792.0,15272694009.0,10145637532.0,17369458749.0,31063361962.0,38287183179.0,,,,,,,,,,,,
Finland,1998,7833014667.0,14607944774.0,9858218127.0,16633148234.0,30062033597.0,36836963704.0,,,,,,,,,,,,
Finland,1999,7567942500.0,14310313593.0,9554023380.0,16296394473.0,29367544540.0,36109915633.0,,,,,,,,,,,,
Finland,2000,6966645985.0,13241583259.0,8889980965.0,15164918239.0,28077537075.0,34352474349.0,,,,,,,,,,,,
Finland,2001,7532484275.0,14076853950.0,9649340975.0,16193710650.0,30767506625.0,37311876300.0,,,,,,,,,,,,
Finland,2002,7461007531.0,13946361964.0,9629788831.0,16115143264.0,31265964181.0,37751318614.0,,,,,,,,,,,,
Finland,2003,7788533019.0,14517777687.0,10254804519.0,16984049187.0,34858798769.0,41588043437.0,,,,,,,,,,,,
Finland,2004,7494927900.0,13838252567.0,9740290320.0,16083614987.0,32140453510.0,38483778177.0,,,,,,,,,,,,
Finland,2005,6120659476.0,11919381259.0,7857150316.0,13655872099.0,25180713696.0,30979435479.0,,,,,,,,,,,,
Finland,2006,6878420548.0,13000894475.0,8930131468.0,15052605395.0,29398390408.0,35520864335.0,,,,,,,,,,,,
Finland,2007,7176716527.0,13023028604.0,9563135527.0,15409447604.0,33370506027.0,39216818104.0,,,,,,,,,,,,
Finland,2008,6205492231.0,11543678481.0,8140822831.0,13479009081.0,27448049531.0,32786235781.0,8048855532.85,13387041782.85,11213095000.75,16551281250.75,42780150644.8,48118336894.8,9564219732.85,14902405982.85,13738702000.75,19076888250.75,55384132244.8,60722318494.8
Finland,2009,4924425331.0,9908064749.0,6193496911.0,11177136329.0,18853996721.0,23837636139.0,7539908261.41,12523547679.41,10552635128.349998,15536274546.349998,40608172205.67999,45591811623.67999,8414833361.41,13398472779.41,12010843628.349998,16994483046.349998,47885327005.67999,52868966423.67999
Finland,2010,6400253370.0,11679498660.0,8483426070.0,13762671360.0,29265553720.0,34544799010.0,8313851496.72,13593096786.720001,11672756281.2,16952001571.2,45181830202.56,50461075492.56,9482047896.720001,14761293186.720001,13619750281.199999,18898995571.199997,54898257402.56,60177502692.56
Finland,2011,5702843037.0,10536285023.0,7491239577.0,12324681563.0,25332624107.0,30166066093.0,7537410516.990001,12370852502.990002,10548852043.650002,15382294029.650002,40591566321.520004,45425008307.520004,8423744916.990001,13257186902.990002,12026076043.65,16859518029.65,47963617521.520004,52797059507.520004
Finland,2012,5029544761.0,9585842071.0,6510909961.0,11067207271.0,21289291361.0,25845588671.0,6961558770.52,11517856080.52,9730933310.2,14287230620.2,37358741217.96,41915038527.96,8008480170.5199995,12564777480.52,11475802310.199999,16032099620.199999,46066468417.96,50622765727.96
Finland,2013,5439009206.0,9900147938.0,7223488826.0,11684627558.0,25025797416.0,29486936148.0,6948587646.02,11409726378.02,9739452892.7,14200591624.7,37581656186.96,42042794918.96,7879891446.0199995,12341030178.02,11291625892.699999,15752764624.699999,45327738586.96,49788877318.96
Finland,2014,5131819638.0,9450171653.0,6720048798.0,11038400813.0,22564525418.0,26882877433.0,6659092641.690001,10977444656.69,9265503804.150002,13583855819.150002,35267558020.12,39585910035.12,7530294441.69,11848646456.689999,10717506804.15,15035858819.15,42513744420.119995,46832096435.119995
Finland,2015,4926541146.0,8912283072.0,6537855186.0,10523597112.0,22612630966.0,26598372892.0,6209919943.889999,10195661869.89,8676819849.150002,12662561775.150002,33287083189.72,37272825115.72,6898938343.89,10884680269.89,9825183849.150002,13810925775.150002,39017966389.72,43003708315.72
Finland,2016,5353195071.0,9323478597.0,7221139611.0,11191423137.0,25856110141.0,29826393667.0,6454159079.969999,10424442605.97,9056079625.95,13026363151.95,35013334596.56,38983618122.56,7075238279.97,11045521805.970001,10091211625.95,14061495151.95,40179136196.56,44149419722.56
Finland,2017,5236282636.0,9033704163.0,7086836236.0,10884257763.0,25548311436.0,29345732963.0,6172081818.639999,9969503345.64,8646501540.400002,12443923067.400002,33331784002.72,37129205529.72,6854132418.64,10651553945.64,9783252540.400002,13580674067.400002,39004712802.72,42802134329.72
Finland,2018,5811469223.0,9550564741.0,8088041843.0,11827137361.0,30799563933.0,34538659451.0,6180510448.49,9919605966.49,8703110552.15,12442206070.15,33869049681.519997,37608145199.52,6945229648.49,10684325166.49,9977642552.149998,13716738070.149998,40229571281.52,43968666799.52
Finland,2019,5139010924.0,8668984836.0,7073662804.0,10603636716.0,26374118464.0,29904092376.0,5833106385.01,9363080297.01,8230488572.35,11760462484.35,32147229917.480003,35677203829.48,6513361485.01,10043335397.01,9364247072.350002,12894220984.350002,37805224717.48,41335198629.48
Finland,2020,4456625631.0,7559107402.0,6082414551.0,9184896322.0,22301594491.0,25404076262.0,5127897130.71,8230378901.71,7201200383.85,10303682154.85,27884868552.08,30987350323.08,5780356630.71,8882838401.71,8288632883.85,11391114654.85,33311674552.08,36414156323.08
Finland,2021,5112300065.0,8250537480.0,7142691785.0,10280929200.0,27398266325.0,30536503740.0,5169925412.780001,8308162827.780001,7238734031.3,10376971446.3,27877562868.440002,31015800283.440002,6036194312.780001,9174431727.78,8682515531.3,11820752946.3,35082720068.44,38220957483.44
France,1990,336028415945.0,683968477129.0,357959503865.0,705899565049.0,576748214305.0,924688275489.0,,,,,,,,,,,,
France,1991,301314401640.0,670591790098.0,324328486440.0,693605874898.0,553921380040.0,923198768498.0,,,,,,,,,,,,
France,1992,267216549907.0,619164147586.0,289915640587.0,641863238266.0,516366092847.0,868313690526.0,,,,,,,,,,,,
France,1993,246468201453.0,575617029773.0,268107596853.0,597256425173.0,483986327153.0,813135155473.0,,,,,,,,,,,,
France,1994,230194653521.0,539237575150.0,251570975621.0,560613897250.0,464825236571.0,773868158200.0,,,,,,,,,,,,
France,1995,221854209130.0,525097063496.0,243344967370.0,546587821736.0,457740865050.0,760983719416.0,,,,,,,,,,,,
France,1996,217961270831.0,523781427940.0,239915228171.0,545735385280.0,458932088301.0,764752245410.0,,,,,,,,,,,,
France,1997,201399851458.0,483358453343.0,222962697238.0,504921299123.0,438077753948.0,720036355833.0,,,,,,,,,,,,
France,1998,199069025761.0,483425703140.0,221125309801.0,505481987180.0,441163000581.0,725519677960.0,,,,,,,,,,,,
France,1999,184318966678.0,454676375600.0,205968639058.0,476326047980.0,421949894468.0,692307303390.0,,,,,,,,,,,,
France,2000,160484299754.0,414359881918.0,182576972174.0,436452554338.0,402977680364.00006,656853262528.0,,,,,,,,,,,,
France,2001,155272678784.0,401818354848.0,177017940644.0,423563616708.0,393952814914.0,640498490978.0,,,,,,,,,,,,
France,2002,148626950157.0,383760764226.0,169687581777.0,404821395846.0,379792454367.0,614926268436.0,,,,,,,,,,,,
France,2003,145516671950.0,378883686590.0,166560675770.0,399927690410.0,376499666260.0,609866680900.0,,,,,,,,,,,,
France,2004,141737556998.0,368802493762.0,162678453758.0,389743390522.0,371588828578.0,598653765342.0,,,,,,,,,,,,
France,2005,137573589394.0,355998481389.0,158561075494.0,376985967489.0,367936234444.0,586361126439.0,,,,,,,,,,,,
France,2006,130117244302.0,334923541181.0,150653670562.0,355459967441.0,355528970632.0,560335267511.0,,,,,,,,,,,,
France,2007,124784451560.0,319785967919.0,144994975880.0,339996492239.0,346619016120.0,541620532479.0,,,,,,,,,,,,
France,2008,120614485000.0,307587105761.0,140624224960.0,327596845721.0,340245202180.0,527217822941.0,126335176029.76001,313307796790.76,150158710009.6,337131330770.6,387826822808.48,574799443569.48,136058627529.76001,323031248290.76,166364462509.59998,353337083270.6,468701244808.48,655673865569.48
France,2009,113890947872.0,290277165001.0,133424063852.0,309810280981.0,328290149462.0,504676366591.0,118492448284.04001,294878665413.04,141093231205.4,317479448334.4,366562946539.92004,542949163668.92004,126934360084.04001,303320577213.04,155163084205.40002,331549301334.4,436778212939.92004,613164430068.92
France,2010,114210366558.0,290094360161.0,133786731198.0,309670724801.0,329084273678.0,504968267281.0,119057754361.01999,294941747964.02,141865710869.7,317749704472.7,369402229372.95996,545286222975.95996,127040144161.01999,302924137764.02,155169693869.7,331053687472.7,435795439772.95996,611679433375.96
France,2011,103411854949.0,260562678696.0,121860220129.0,279011043876.0,305904625139.0,463055448886.0,108384876861.88,265535700608.88,130148589983.79999,287299413730.8,347267537557.24,504418361304.24,117646853361.88,274797677108.88,145585217483.8,302736041230.8,424303659557.24,581454483304.24
France,2012,103910629881.0,262317381196.0,122250695541.0,280657446856.0,305214683911.0,463621435226.0,109169139683.91,267575890998.91,131014878545.85,289421629860.85,348952130525.68,507358881840.68,116925050783.91,275331802098.91,143941397045.84998,302348148360.85,413461613325.68,571868364640.6799
France,2013,103139991927.0,259915154851.0,121517106207.0,278292269131.0,304850698667.0,461625861591.0,108139189396.14,264914352320.14,129849101988.9,286624264912.9,346431325235.72,503206488159.72,114949319296.14,271724482220.14,141199318488.9,297974481412.9,403074310435.72,559849473359.72
France,2014,93494342709.0,233383964578.0,110711845809.0,250601467678.0,282476936259.0,422366558128.0,98106730137.18,237996352006.18,118399158189.3,258288780058.3,320840285661.64,460729907530.64,104883980337.18,244773602206.18,129694575189.3,269584197058.3,377209795261.64,517099417130.64
France,2015,93340043453.0,232285827808.0,110874326513.0,249820110868.0,285799674183.0,424745458538.0,97631968425.23,236577752780.22998,118027534800.04999,256973319155.05,321497589825.04,460443374180.04,103368156225.23001,242313940580.23,127587847800.05,266533632155.05,369208104225.04004,508153888580.04004
France,2016,92647554264.0,228862349492.0,110547066384.0,246761861612.0,289116008724.0,425330803952.0,96415994253.51,232630789481.51,116827799699.85,253042594927.85,320459858795.48,456674654023.48,102438113853.51001,238652909081.51,126864665699.85,263079460927.85,370548599595.48,506763394823.48
France,2017,91564510645.0,223660335045.0,109975560925.0,242071385325.0,293647705385.0,425743529785.0,95039288243.11,227135112643.11,115766856921.85,247862681321.85,322549030169.28,454644854569.28,100741897043.11,232837721443.11,125271204921.85,257367029321.85,369980252569.28,502076076969.28
France,2018,87641384024.0,213602963408.0,105311387984.0,231272967368.0,281590713204.0,407552292588.0,91187895535.13,217149474919.13,111222240502.54999,237183819886.55,311088681963.24,437050261347.24,97769152735.13,223730732119.13,122191002502.54999,248152581886.55,365828027563.24,491789606947.24
France,2019,84495921931.0,204592582556.0,101834891971.0,221931552596.0,274811759751.0,394908420376.0,87897564739.9,207994225364.9,107504296652.5,227600957277.5,303104788828.2,423201449453.2,94103921539.9,214200582164.9,117848224652.5,237944885277.5,354725915228.19995,474822575853.19995
France,2020,75775331545.0,183451789207.0,91345017145.0,199021474807.0,246671166345.0,354347624007.0,78826251430.51,186502709092.51,96429883620.85,204106341282.85,272047071424.47998,379723529086.48,84754652230.51,192431109892.51,106310551620.85,213987009282.85,321356309824.48,429032767486.48
France,2021,80126144001.0,193032564796.0,96831446601.0,209737867396.0,263486727301.0,376393148096.0,83006848307.34,195913269102.34,101632620444.9,214539041239.9,287446871055.32,400353291850.32,89877237707.34,202783658502.34,113083269444.90001,225989690239.90002,344591062255.32,457497483050.32
Croatia,1990,30223546425.0,57834954172.0,31279509585.0,58890917332.0,41813999205.0,69425406952.0,,,,,,,,,,,,
Croatia,1991,22195872499.0,44956035327.0,22923944179.0,45684107007.0,30187325939.0,52947488767.0,,,,,,,,,,,,
Croatia,1992,18170741442.0,38991513985.0,18815454462.0,39636227005.0,25247234352.0,46068006895.0,,,,,,,,,,,,
Croatia,1993,18354458728.0,39863300701.0,18992098528.0,40500940501.0,25353314628.0,46862156601.0,,,,,,,,,,,,
Croatia,1994,18639567674.0,39169362804.0,19227454694.0,39757249824.0,25092327584.0,45622122714.0,,,,,,,,,,,,
Croatia,1995,17760135106.0,37610653932.0,18355767766.0,38206286592.0,24297912636.0,44148431462.0,,,,,,,,,,,,
Croatia,1996,16240894652.0,36441992569.0,16872153812.0,37073251729.0,23169715432.0,43370813349.0,,,,,,,,,,,,
Croatia,1997,16026310901.0,36958115632.0,16740365921.0,37672170652.0,23863914811.0,44795719542.0,,,,,,,,,,,,
Croatia,1998,16112398285.0,37894092043.0,16839811405.0,38621505163.0,24096623245.0,45878317003.0,,,,,,,,,,,,
Croatia,1999,15894443158.0,37409970019.0,16642553038.0,38158079899.0,24105839698.0,45621366559.0,,,,,,,,,,,,
Croatia,2000,13569203079.0,31900312554.0,14365448319.0,32696557794.0,22308942499.0,40640051974.0,,,,,,,,,,,,
Croatia,2001,12696474762.0,31622990407.0,13490254602.0,32416770247.0,21409153482.0,40335669127.0,,,,,,,,,,,,
Croatia,2002,11592729165.0,31080537847.0,12419465985.0,31907274667.0,20667149975.0,40154958657.0,,,,,,,,,,,,
Croatia,2003,11164527488.0,32086974017.0,12087270008.0,33009716537.0,21292725148.0,42215171677.0,,,,,,,,,,,,
Croatia,2004,10317206708.0,30173153062.0,11226847748.0,31082794102.0,20301600028.0,40157546382.0,,,,,,,,,,,,
Croatia,2005,10236786814.0,30405525845.0,11156912734.0,31325651765.0,20336264174.0,40505003205.0,,,,,,,,,,,,
Croatia,2006,9721109887.0,28832127863.0,10666035967.0,29777053943.0,20092798527.0,39203816503.0,,,,,,,,,,,,
Croatia,2007,9917354597.0,29092099223.0,10970910737.0,30145655363.0,21481387467.0,40656132093.0,,,,,,,,,,,,
Croatia,2008,9666433131.0,28505420380.0,10671403251.0,29510390500.0,20697176591.0,39536163840.0,10127762766.060001,28966750015.06,11440285976.1,30279273225.1,24534267523.88,43373254772.880005,10765618866.060001,29604606115.06,12503379476.1,31342366725.1,29839610323.88,48678597572.880005
Croatia,2009,9170485847.0,27149147466.0,10079203727.0,28057865346.0,19144746387.0,37123408006.0,9636639609.41,27615301228.41,10856126664.35,28834788283.35,23021961807.68,41000623426.68,9878496609.41,27857158228.41,11259221664.35,29237883283.35,25033597807.68,43012259426.68
Croatia,2010,8596767941.0,25356103946.0,9490672001.0,26250008006.0,18408429171.0,35167765176.0,9062204779.79,25821540784.79,10266400065.65,27025736070.65,22279681607.92,39039017612.92,9258878179.79,26018214184.79,10594189065.65,27353525070.65,23915504807.92,40674840812.92
Croatia,2011,8190592224.0,23794717643.0,9125114484.0,24729239903.0,18448086554.0,34052211973.0,8572794803.43,24176920222.43,9762118783.05,25366244202.05,21627041341.64,37231166760.64,8735794703.43,24339920122.43,10033785283.05,25637910702.05,22982786541.64,38586911960.64
Croatia,2012,7710967150.0,22484552953.0,8590120810.0,23363706613.0,17360725180.0,32134310983.0,8061115044.04,22834700847.04,9173700633.4,23947286436.4,20273066393.92,35046652196.92,8339480544.04,23113066347.04,9637643133.4,24411228936.4,22588360393.92,37361946196.92
Croatia,2013,7247644812.0,21187227480.0,8034823932.0,21974406600.0,15887872772.0,29827455440.0,7656878577.78,21596461245.78,8716880208.3,22656462876.3,19291658379.44,33231241047.44,7978424277.78,21918006945.78,9252789708.3,23192372376.3,21966101979.44,35905684647.44
Croatia,2014,6667057369.0,19255014711.0,7429403569.0,20017360911.0,15034714469.0,27622671811.0,7067028281.32,19654985623.32,8096021756.200001,20683979098.2,18361456660.36,30949414002.36,7158245981.32,19746203323.32,8248051256.200001,20836008598.2,19120156260.36,31708113602.36
