countries,Year,GHG [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t]
France,1991,547954400.0,1026930.1,58313439.0,20.0,2877.0,2226858.0,1378152.0,672324.0,519512.0,642309.0,2952411.0,20.0,26.0,345.0,313.0
Croatia,1991,17335040.0,,4782179.0,4.0,356.0,80157.0,99520.0,50472.0,42565.0,59558.0,137196.0,1.0,1.0,4.0,13.0
Hungary,1991,86158340.0,,10373153.0,4.0,714.0,216407.0,832120.0,112219.0,55873.0,80034.0,273391.0,2.0,3.0,13.0,16.0
Ireland,1991,62367350.0,,3520977.0,2.0,145.0,171264.0,183271.0,112727.0,28411.0,44558.0,154849.0,1.0,1.0,5.0,24.0
Iceland,1991,13093230.0,,255866.0,0.0,0.0,27609.0,22340.0,4693.0,1435.0,2753.0,9825.0,0.0,0.0,0.0,2.0
Italy,1991,503760800.0,,56744119.0,36.0,3297.0,2190993.0,1672220.0,474896.0,265325.0,538287.0,2052520.0,12.0,15.0,90.0,114.0
Lithuania,1991,44467840.0,,3701968.0,1.0,10.0,158804.0,243997.0,83376.0,17028.0,20846.0,132230.0,0.0,1.0,3.0,38.0
Latvia,1991,11360460.0,,2658161.0,11.0,169.0,95291.0,81695.0,31746.0,28512.0,33519.0,82688.0,1.0,0.0,2.0,11.0
Malta,1991,2471840.0,,361908.0,0.0,0.0,7001.0,11313.0,2257.0,525.0,856.0,4898.0,0.0,0.0,0.0,4.0
Netherlands,1991,236887390.0,,15010445.0,1.0,282.0,668528.0,184499.0,358199.0,55633.0,77579.0,572114.0,4.0,3.0,14.0,77.0
Norway,1991,37339440.0,98551.5,4249830.0,3.0,146.0,190243.0,42183.0,31030.0,38249.0,48729.0,323631.0,2.0,1.0,11.0,0.0
Poland,1991,442074050.0,,38183160.0,104.0,541.0,1110892.0,2498666.0,433323.0,440449.0,761251.0,884952.0,11.0,15.0,55.0,182.0
Portugal,1991,59242080.0,,9970441.0,3.0,626.0,274440.0,308106.0,72867.0,64676.0,81372.0,252194.0,2.0,2.0,12.0,116.0
Romania,1991,181336940.0,,23192274.0,47.0,459.0,400254.0,700152.0,262472.0,63777.0,108024.0,327617.0,4.0,3.0,19.0,88.0
Sweden,1991,25520460.0,,8590630.0,4.0,325.0,293466.0,100063.0,58350.0,45569.0,66380.0,350798.0,2.0,1.0,19.0,27.0
Slovenia,1991,12700240.0,,1999945.0,1.0,39.0,69517.0,187715.0,22371.0,13839.0,16523.0,62572.0,1.0,0.0,2.0,3.0
Slovakia,1991,54262960.0,,5310711.0,3.0,54.0,120348.0,135160.0,50323.0,87465.0,98437.0,236473.0,2.0,2.0,6.0,6.0
Belgium,1992,145787340.0,,10021997.0,9.0,255.0,422471.0,356888.0,130321.0,46739.0,64387.0,346642.0,7.0,6.0,48.0,78.0
Bulgaria,1992,59460750.0,,8595465.0,11.0,204.0,201996.0,1114098.0,99215.0,33497.0,54246.0,429303.0,5.0,2.0,12.0,45.0
Cyprus,1992,6429320.0,,603069.0,0.0,26.0,20195.0,37613.0,6276.0,2673.0,5209.0,13125.0,0.0,0.0,0.0,7.0
Czechia,1992,166603020.0,,10312548.0,40.0,269.0,677247.0,1381400.0,111869.0,192299.0,284009.0,470795.0,3.0,5.0,21.0,40.0
Germany,1992,1122249440.0,1647737.1,80274564.0,38.0,1127.0,2465682.0,3236892.0,647544.0,219688.0,376910.0,3104294.0,23.0,25.0,116.0,280.0
Denmark,1992,83433060.0,118194.2,5162126.0,1.0,102.0,300223.0,184145.0,132419.0,23911.0,35266.0,220620.0,1.0,3.0,5.0,19.0
Estonia,1992,24652560.0,,1554878.0,14.0,120.0,45038.0,192704.0,16309.0,12577.0,46208.0,41746.0,3.0,1.0,12.0,16.0
Greece,1992,102717260.0,,10367163.0,3.0,450.0,416343.0,491978.0,85922.0,61765.0,86612.0,316816.0,8.0,2.0,6.0,45.0
Spain,1992,270608590.0,,39051336.0,10.0,1331.0,1370124.0,2054894.0,490986.0,208634.0,303187.0,1021104.0,23.0,12.0,29.0,210.0
European Union - 27 countries (from 2020),1992,4325593290.0,,420413536.0,341.0,11820.0,14478330.0,17159218.0,4434988.0,2513326.0,3670921.0,14778800.0,135.0,128.0,823.0,1743.0
Finland,1992,35580000.0,86806.9,5029002.0,18.0,165.0,288155.0,156202.0,33082.0,38765.0,60598.0,219559.0,3.0,1.0,48.0,52.0
France,1992,540454540.0,1083285.9,58604851.0,19.0,2091.0,2211876.0,1228726.0,665903.0,501349.0,619083.0,2884036.0,20.0,25.0,294.0,256.0
Croatia,1992,15350310.0,,4595865.0,1.0,261.0,75432.0,104578.0,45516.0,36614.0,49788.0,104415.0,1.0,1.0,4.0,13.0
Hungary,1992,75764970.0,,10373647.0,3.0,279.0,194612.0,714968.0,95109.0,54960.0,78494.0,244868.0,2.0,2.0,11.0,18.0
Ireland,1992,62158030.0,,3547492.0,2.0,153.0,179933.0,171049.0,115531.0,25046.0,41349.0,149963.0,1.0,1.0,5.0,24.0
Iceland,1992,13018600.0,,259727.0,0.0,0.0,29771.0,24590.0,4540.0,1483.0,2799.0,9876.0,0.0,0.0,0.0,2.0
Italy,1992,505039600.0,,56772923.0,36.0,2485.0,2229830.0,1573839.0,463039.0,238678.0,339255.0,2124206.0,11.0,15.0,88.0,111.0
Lithuania,1992,25662150.0,,3706299.0,0.0,5.0,98540.0,121200.0,61818.0,9603.0,11875.0,108005.0,0.0,0.0,2.0,20.0
Latvia,1992,6198720.0,,2643000.0,8.0,128.0,77652.0,69802.0,24993.0,26134.0,30659.0,74424.0,1.0,0.0,2.0,9.0
Malta,1992,2508070.0,,365781.0,0.0,0.0,7068.0,11140.0,2354.0,556.0,900.0,4666.0,0.0,0.0,0.0,4.0
Netherlands,1992,237206470.0,,15129150.0,1.0,239.0,654726.0,174067.0,295311.0,53342.0,74314.0,525616.0,4.0,3.0,12.0,79.0
Norway,1992,36392870.0,101108.3,4273634.0,3.0,130.0,194430.0,36583.0,31868.0,36569.0,47177.0,349225.0,1.0,1.0,12.0,0.0
Poland,1992,451000530.0,,38309226.0,79.0,548.0,1110511.0,2229750.0,409729.0,417957.0,693539.0,868952.0,10.0,14.0,53.0,171.0
Portugal,1992,56457720.0,,9950029.0,4.0,702.0,295555.0,366540.0,71832.0,65709.0,82760.0,255937.0,2.0,2.0,14.0,140.0
Romania,1992,164348050.0,,22810035.0,34.0,324.0,411795.0,696996.0,230138.0,62237.0,100755.0,301005.0,3.0,3.0,15.0,70.0
Sweden,1992,26170770.0,,8644120.0,4.0,307.0,279349.0,93315.0,59415.0,44124.0,64839.0,330968.0,1.0,1.0,17.0,26.0
Slovenia,1992,12568570.0,,1998912.0,1.0,36.0,68530.0,193588.0,23312.0,13860.0,16657.0,61402.0,1.0,0.0,2.0,2.0
Slovakia,1992,47909390.0,,5295877.0,3.0,54.0,111643.0,132478.0,43368.0,81431.0,91830.0,223366.0,2.0,2.0,6.0,6.0
Belgium,1993,144589810.0,,10068319.0,9.0,218.0,417373.0,331868.0,133250.0,45845.0,63155.0,337768.0,5.0,4.0,39.0,65.0
Bulgaria,1993,58463280.0,,8484863.0,13.0,426.0,209745.0,1558149.0,70505.0,35899.0,57284.0,420205.0,5.0,3.0,12.0,50.0
Cyprus,1993,6719460.0,,619231.0,0.0,26.0,20674.0,39907.0,6516.0,2651.0,5108.0,13072.0,0.0,0.0,0.0,8.0
Czechia,1993,159291700.0,,10325697.0,33.0,242.0,551534.0,1302416.0,99954.0,174804.0,257302.0,438783.0,3.0,4.0,20.0,37.0
Germany,1993,1111968110.0,1768471.4,80974632.0,27.0,947.0,2360744.0,2901887.0,640973.0,212828.0,359528.0,2915605.0,21.0,23.0,103.0,253.0
Denmark,1993,84393930.0,122269.6,5180614.0,1.0,61.0,299133.0,149207.0,129189.0,24197.0,35147.0,212449.0,1.0,3.0,5.0,17.0
Estonia,1993,18038770.0,,1511303.0,11.0,100.0,40639.0,156222.0,11876.0,12422.0,43071.0,33362.0,2.0,1.0,10.0,14.0
Greece,1993,101774300.0,,10430958.0,3.0,429.0,407777.0,487394.0,80217.0,61665.0,86367.0,317220.0,8.0,2.0,6.0,42.0
Spain,1993,259342480.00000003,,39264034.0,9.0,1114.0,1308026.0,1955259.0,470612.0,205433.0,301661.0,940797.0,20.0,10.0,26.0,165.0
European Union - 27 countries (from 2020),1993,4232357540.0,,421912578.0,310.0,10799.0,13840342.0,16608119.0,4279335.0,2545610.0,3643967.0,14215095.0,129.0,117.0,720.0,1602.0
Finland,1993,37122810.0,76101.5,5054982.0,16.0,105.0,293389.0,137604.0,33642.0,35415.0,56368.0,213406.0,3.0,1.0,38.0,46.0
France,1993,515223700.0,1129359.6,58885929.0,18.0,1832.0,2099346.0,1069006.0,658383.0,484287.0,593208.0,2753422.0,19.0,23.0,234.0,231.0
Croatia,1993,15181900.0,,4555771.0,1.0,259.0,75344.0,111968.0,41346.0,38186.0,52562.0,101907.0,1.0,0.0,4.0,12.0
Hungary,1993,74098890.0,,10365035.0,3.0,243.0,194113.0,719423.0,84706.0,54071.0,76967.0,232478.0,2.0,2.0,12.0,22.0
Ireland,1993,62858700.0,,3569367.0,2.0,132.0,172469.0,162074.0,114964.0,24693.0,40704.0,147266.0,1.0,1.0,5.0,25.0
Iceland,1993,13099090.0,,262386.0,0.0,1.0,31305.0,24294.0,4564.0,1545.0,2945.0,9721.0,0.0,0.0,0.0,2.0
Italy,1993,511059600.0,,56821250.0,31.0,2300.0,2126609.0,1471388.0,468105.0,239247.0,330933.0,2120783.0,11.0,14.0,84.0,109.0
Lithuania,1993,18581400.0,,3693929.0,0.0,5.0,72922.0,112909.0,48400.0,8807.0,10694.0,95397.0,0.0,0.0,2.0,14.0
Latvia,1993,2863060.0,,2585675.0,9.0,142.0,68002.0,65745.0,17760.0,27417.0,31759.0,68395.0,1.0,0.0,2.0,10.0
Malta,1993,3110940.0,,369455.0,0.0,1.0,8771.0,15276.0,2367.0,688.0,1086.0,5461.0,0.0,0.0,0.0,5.0
Netherlands,1993,237553910.0,,15239182.0,1.0,212.0,636988.0,162828.0,294330.0,51005.0,70732.0,503076.0,3.0,2.0,11.0,81.0
Norway,1993,36821290.0,102942.5,4299167.0,4.0,90.0,199796.0,35265.0,29807.0,40398.0,50741.0,369073.0,2.0,1.0,12.0,0.0
