countries,Year,GHG [t],GDP [MIO_EURO],Population,As [t],Pb [t],NOx [t],SOx [t],NH3 [t],PM2.5 [t],PM10 [t],NMVOC [t],Cd [t],Hg [t],Cr [t],Ni [t]
Denmark,1996,97466750.0,147843.4,5251027.0,1.0,28.0,316185.0,176166.0,112699.0,23199.0,34543.0,211801.0,1.0,2.0,4.0,14.0
Estonia,1996,17302050.0,3770.0,1425192.0,10.0,64.0,52127.0,125283.0,8393.0,11938.0,38443.0,41426.0,1.0,1.0,9.0,11.0
Greece,1996,110191020.0,114908.2,10588332.0,3.0,401.0,409471.0,492471.0,80783.0,65791.0,90669.0,313314.0,8.0,2.0,7.0,47.0
Spain,1996,281301920.0,506362.6,39808374.0,9.0,678.0,1305710.0,1555892.0,537933.0,195395.0,296527.0,955499.0,21.0,10.0,28.0,160.0
European Union - 27 countries (from 2020),1996,4316767840.0,6636498.9,424641798.0,232.0,7955.0,12981442.0,13422410.0,4156973.0,2371989.0,3359382.0,12637492.0,125.0,109.0,613.0,1481.0
Finland,1996,46655930.0,104142.2,5116826.0,8.0,49.0,277568.0,109073.0,35940.0,31040.0,49612.0,197280.0,2.0,1.0,33.0,37.0
France,1996,522713269.99999994,1265105.4,59522297.0,17.0,1285.0,1956305.0,924507.0,660845.0,462728.0,574162.0,2466985.0,17.0,20.0,182.0,220.0
Croatia,1996,15029980.0,19174.1,4581167.0,1.0,212.0,84142.0,61676.0,38556.0,41684.0,60218.0,122185.0,1.0,0.0,3.0,13.0
Hungary,1996,77117560.0,36758.4,10321229.0,3.0,116.0,194422.0,611589.0,80403.0,51344.0,72336.0,205176.0,2.0,2.0,12.0,17.0
Ireland,1996,68600940.0,59701.5,3620065.0,2.0,85.0,174484.0,150199.0,120990.0,21971.0,38427.0,142401.0,1.0,1.0,5.0,25.0
Iceland,1996,13200090.0,5833.1,267958.0,0.0,1.0,32723.0,23898.0,4549.0,1550.0,3199.0,9322.0,0.0,0.0,0.0,2.0
Italy,1996,504950870.0,1033759.7,56844197.0,26.0,1915.0,1914966.0,1213522.0,448384.0,225407.0,325187.0,2000534.0,10.0,14.0,61.0,110.0
Lithuania,1996,24438420.0,6601.8,3615212.0,0.0,4.0,75868.0,83549.0,41281.0,7948.0,9615.0,89174.0,0.0,0.0,2.0,15.0
Latvia,1996,-2334420.0,4703.6,2469531.0,9.0,124.0,52665.0,55679.0,15655.0,29581.0,34045.0,63119.0,1.0,0.0,2.0,11.0
Malta,1996,2777770.0,3010.6,378404.0,0.0,1.0,8330.0,10420.0,2101.0,754.0,1113.0,5754.0,0.0,0.0,0.0,6.0
Netherlands,1996,248299420.0,354929.1,15493889.0,1.0,107.0,569869.0,124752.0,222113.0,43591.0,59752.0,414717.0,3.0,1.0,7.0,72.0
Norway,1996,40639640.0,128671.9,4369957.0,3.0,13.0,224828.0,33552.0,30323.0,43959.0,54634.0,403454.0,1.0,1.0,12.0,0.0
Poland,1996,425671380.0,126200.8,38609399.0,57.0,580.0,1112450.0,2076706.0,354199.0,457637.0,634963.0,957913.0,13.0,14.0,54.0,168.0
Portugal,1996,58111280.0,96626.8,10043693.0,3.0,321.0,278854.0,262676.0,71037.0,64423.0,80539.0,236565.0,3.0,2.0,12.0,92.0
Romania,1996,161462800.0,29035.4,22656145.0,36.0,344.0,421239.0,698734.0,215927.0,110675.0,152692.0,338590.0,5.0,3.0,20.0,70.0
Sweden,1996,32025640.000000004,229771.3,8837496.0,1.0,25.0,252858.0,68664.0,61223.0,41911.0,61847.0,271834.0,1.0,1.0,11.0,30.0
Slovenia,1996,13754340.0,16946.1,1990266.0,1.0,12.0,77216.0,116002.0,21194.0,13949.0,17201.0,65969.0,1.0,0.0,2.0,3.0
Slovakia,1996,43677760.0,17053.2,5367790.0,2.0,46.0,112181.0,118018.0,38439.0,47354.0,58584.0,163970.0,1.0,1.0,4.0,3.0
Belgium,1997,146791750.0,223032.7,10170226.0,5.0,235.0,381081.0,225568.0,137106.0,42290.0,58244.0,286393.0,4.0,4.0,34.0,64.0
Bulgaria,1997,53281890.0,10064.7,8340936.0,14.0,184.0,174736.0,1618547.0,49733.0,31466.0,55739.0,124883.0,7.0,3.0,16.0,44.0
Cyprus,1997,7339920.0,8414.2,666313.0,0.0,25.0,21637.0,43978.0,6814.0,2563.0,4738.0,13643.0,0.0,0.0,0.0,8.0
Czechia,1997,150223130.0,54857.3,10309137.0,6.0,250.0,345417.0,694355.0,87438.0,95930.0,131287.0,366968.0,2.0,4.0,13.0,20.0
Germany,1997,1086218400.0,1952617.8,82012162.0,9.0,409.0,2010150.0,1225635.0,622121.0,188800.0,335565.0,2205553.0,19.0,20.0,88.0,189.0
Denmark,1997,88317750.0,153152.1,5275121.0,1.0,26.0,269311.0,104230.0,111755.0,22312.0,33802.0,199796.0,1.0,2.0,3.0,13.0
Estonia,1997,16890080.0,4553.7,1405996.0,9.0,43.0,51755.0,118340.0,8635.0,11848.0,36064.0,42502.0,1.0,1.0,9.0,10.0
Greece,1997,115305110.0,126353.8,10629267.0,3.0,392.0,423910.0,517790.0,79971.0,66982.0,93085.0,311326.0,9.0,2.0,7.0,51.0
Spain,1997,295436200.0,520831.0,39971329.0,10.0,581.0,1327245.0,1623227.0,533741.0,191165.0,293958.0,950241.0,20.0,10.0,30.0,153.0
European Union - 27 countries (from 2020),1997,4253050300.0,6819195.6,425273491.0,233.0,6997.0,12547612.0,12423160.0,4131939.0,2244195.0,3190368.0,12209612.0,123.0,102.0,596.0,1408.0
Finland,1997,49922970.0,112033.4,5132320.0,14.0,34.0,271717.0,100669.0,37329.0,30424.0,49126.0,197098.0,2.0,1.0,33.0,38.0
France,1997,513401089.99999994,1282409.5,59726386.0,17.0,1135.0,1889359.0,781612.0,657104.0,423162.0,533656.0,2359714.0,16.0,16.0,180.0,212.0
Croatia,1997,17001310.0,21277.6,4533028.0,1.0,192.0,86666.0,77018.0,40714.0,40335.0,59200.0,109464.0,1.0,0.0,4.0,12.0
Hungary,1997,75158050.0,41741.4,10301247.0,3.0,99.0,196696.0,625169.0,78860.0,50550.0,70952.0,195863.0,2.0,2.0,12.0,19.0
Ireland,1997,69505540.0,73118.8,3654955.0,2.0,90.0,169067.0,169085.0,124110.0,20391.0,37930.0,138983.0,1.0,1.0,6.0,28.0
Iceland,1997,13356800.0,6672.3,269874.0,0.0,1.0,32516.0,23572.0,4481.0,1573.0,3192.0,9216.0,0.0,0.0,0.0,2.0
Italy,1997,521072050.0,1096302.0,56876364.0,25.0,1734.0,1837130.0,1137964.0,458588.0,222081.0,309283.0,1954836.0,10.0,14.0,51.0,97.0
Lithuania,1997,22771270.0,8922.8,3588013.0,0.0,4.0,81569.0,75142.0,40945.0,8059.0,9710.0,88042.0,0.0,0.0,2.0,16.0
Latvia,1997,-1126450.0,5751.2,2444912.0,14.0,163.0,50127.0,43970.0,15371.0,28932.0,33604.0,59891.0,1.0,0.0,2.0,9.0
Malta,1997,2809230.0,3346.8,381405.0,0.0,1.0,8629.0,10604.0,2127.0,772.0,1135.0,5686.0,0.0,0.0,0.0,6.0
Netherlands,1997,239821830.0,367861.6,15567107.0,1.0,56.0,541626.0,110467.0,212479.0,39794.0,54914.0,379317.0,3.0,1.0,6.0,57.0
Norway,1997,41705130.0,142336.6,4392714.0,3.0,13.0,233270.0,30937.0,29469.0,47828.0,59133.0,402970.0,1.0,1.0,13.0,0.0
Poland,1997,415412390.0,140649.2,38639341.0,55.0,555.0,1055478.0,1887613.0,357589.0,406160.0,562150.0,927829.0,12.0,13.0,52.0,156.0
Portugal,1997,60286140.0,103306.6,10084196.0,3.0,327.0,281208.0,274787.0,70236.0,65737.0,84113.0,237750.0,3.0,3.0,13.0,100.0
Romania,1997,154194260.0,31450.5,22581862.0,35.0,349.0,402653.0,614069.0,201538.0,130489.0,168808.0,343665.0,5.0,2.0,22.0,75.0
Sweden,1997,26335700.0,236645.7,8844499.0,1.0,25.0,241486.0,59821.0,62488.0,38640.0,58081.0,252428.0,1.0,1.0,9.0,25.0
Slovenia,1997,14083100.0,18320.7,1986989.0,1.0,11.0,77723.0,120079.0,21146.0,13974.0,17336.0,62627.0,1.0,0.0,2.0,3.0
Slovakia,1997,43706370.0,19331.1,5378932.0,2.0,48.0,112436.0,117121.0,40700.0,40838.0,50762.0,151084.0,1.0,1.0,4.0,3.0
Belgium,1998,151427780.0,231015.7,10192264.0,6.0,160.0,382978.0,211878.0,138589.0,41259.0,56796.0,277701.0,2.0,3.0,30.0,70.0
Bulgaria,1998,49470410.0,13437.6,8283200.0,13.0,218.0,174035.0,1442569.0,41883.0,35629.0,59679.0,127248.0,7.0,3.0,16.0,37.0
Cyprus,1998,7659730.0,9152.6,675215.0,0.0,24.0,22048.0,47340.0,6841.0,2520.0,4631.0,13266.0,0.0,0.0,0.0,9.0
Czechia,1998,144313170.0,59824.8,10299125.0,6.0,230.0,327575.0,425286.0,84117.0,70382.0,97552.0,341949.0,2.0,3.0,12.0,19.0
Germany,1998,1061504030.0,2000815.9,82057379.0,9.0,378.0,1980530.0,977790.0,630556.0,178604.0,323428.0,2146462.0,19.0,19.0,86.0,183.0
Denmark,1998,84196530.0,158146.4,5294860.0,1.0,28.0,249334.0,80583.0,111878.0,20311.0,31824.0,190554.0,1.0,2.0,2.0,11.0
Estonia,1998,14656000.0,5067.5,1393074.0,8.0,37.0,49601.0,106662.0,8705.0,11729.0,32602.0,38941.0,1.0,1.0,8.0,9.0
Greece,1998,120761440.0,129057.3,10693250.0,3.0,386.0,450846.0,526155.0,79817.0,68758.0,95764.0,318186.0,9.0,3.0,7.0,57.0
Spain,1998,304316700.0,553338.4,40143449.0,10.0,489.0,1323706.0,1494649.0,562726.0,186140.0,290373.0,957239.0,21.0,10.0,30.0,169.0
European Union - 27 countries (from 2020),1998,4200609130.0,7110871.8,427482962.0,208.0,6338.0,12247736.0,11150205.0,4139641.0,2134806.0,3117931.0,11847407.0,118.0,97.0,562.0,1406.0
Finland,1998,48219130.0,119733.4,5147349.0,14.0,37.0,257638.0,93402.0,37134.0,28151.0,45293.0,192575.0,2.0,1.0,30.0,34.0
France,1998,525149620.0,1343327.3,59934884.0,17.0,1017.0,1913515.0,813492.0,655924.0,420441.0,528319.0,2311593.0,15.0,14.0,160.0,211.0
Croatia,1998,17319360.0,22931.7,4536812.0,1.0,183.0,89330.0,95467.0,36672.0,40388.0,57831.0,108412.0,1.0,0.0,4.0,14.0
Hungary,1998,73567180.0,43408.6,10279724.0,3.0,93.0,197013.0,565269.0,82313.0,49749.0,70664.0,189014.0,2.0,2.0,12.0,19.0
Ireland,1998,71924930.0,80565.7,3693386.0,2.0,62.0,178391.0,179898.0,128427.0,21737.0,39820.0,141272.0,1.0,0.0,6.0,31.0
Iceland,1998,13492290.0,7571.0,272381.0,0.0,1.0,31416.0,23254.0,4585.0,1580.0,3328.0,9176.0,0.0,0.0,0.0,2.0
Italy,1998,536008619.99999994,1134534.9,56904379.0,27.0,1601.0,1723442.0,1003861.0,459032.0,223156.0,325752.0,1867811.0,10.0,14.0,54.0,104.0
Lithuania,1998,16073570.0,10025.7,3562261.0,0.0,4.0,80434.0,91175.0,39449.0,7960.0,9836.0,80043.0,0.0,0.0,2.0,15.0
Latvia,1998,-682330.0,6402.4,2420789.0,14.0,155.0,46403.0,39849.0,14580.0,28952.0,33710.0,57300.0,1.0,0.0,2.0,10.0
Malta,1998,2783630.0,3581.8,384176.0,0.0,1.0,8656.0,10854.0,2095.0,782.0,1207.0,5524.0,0.0,0.0,0.0,6.0
Netherlands,1998,240048290.0,391460.9,15654192.0,1.0,43.0,521895.0,101382.0,197013.0,36787.0,51130.0,377516.0,3.0,1.0,6.0,43.0
Norway,1998,39266020.0,137455.3,4417599.0,4.0,14.0,234610.0,29783.0,30139.0,43540.0,54397.0,395457.0,1.0,1.0,12.0,0.0
Poland,1998,379075860.0,155011.6,38659979.0,36.0,480.0,959791.0,1702940.0,365756.0,351646.0,487106.0,861338.0,11.0,12.0,47.0,143.0
Portugal,1998,65526510.0,110683.7,10133758.0,4.0,339.0,294129.0,321962.0,68103.0,72783.0,150932.0,238590.0,3.0,3.0,14.0,126.0
Romania,1998,134874030.0,37063.3,22526093.0,27.0,265.0,354237.0,494464.0,196268.0,117245.0,152795.0,319045.0,4.0,2.0,20.0,55.0
Sweden,1998,26133260.0,241468.1,8847625.0,1.0,24.0,231759.0,56456.0,61876.0,36335.0,55851.0,241092.0,1.0,1.0,8.0,24.0
Slovenia,1998,13536550.0,19784.6,1984923.0,1.0,10.0,68371.0,110166.0,21386.0,14023.0,17504.0,58403.0,1.0,0.0,2.0,3.0
Slovakia,1998,41933920.0,20333.8,5387650.0,2.0,49.0,112177.0,117803.0,34685.0,41997.0,53583.0,151765.0,1.0,1.0,4.0,3.0
Belgium,1999,145625100.0,242307.6,10213752.0,5.0,174.0,356689.0,173353.0,134397.0,40107.0,55203.0,260392.0,2.0,3.0,28.0,53.0
Bulgaria,1999,42521860.0,12804.4,8230371.0,12.0,215.0,157721.0,1090448.0,45896.0,31510.0,54111.0,119779.0,6.0,2.0,14.0,31.0
Cyprus,1999,7922450.0,9839.8,682862.0,0.0,23.0,22311.0,49575.0,6720.0,2479.0,4528.0,13871.0,0.0,0.0,0.0,10.0
Czechia,1999,134000800.0,61082.9,10289621.0,5.0,227.0,303079.0,231871.0,82890.0,52057.0,72763.0,327986.0,2.0,3.0,11.0,16.0
Germany,1999,1023116400.0,2059480.0,82037011.0,8.0,354.0,1944101.0,797967.0,628823.0,173797.0,317523.0,1982069.0,18.0,18.0,83.0,177.0
Denmark,1999,81770440.0,166972.1,5313577.0,1.0,34.0,230753.0,59622.0,106424.0,19807.0,31299.0,183273.0,1.0,1.0,2.0,9.0
Estonia,1999,13933500.0,5406.9,1379237.0,7.0,33.0,45154.0,99387.0,7737.0,11535.0,29927.0,35805.0,1.0,0.0,7.0,8.0
Greece,1999,120285730.0,139945.1,10747768.0,3.0,359.0,444661.0,508629.0,79360.0,71012.0,97876.0,318927.0,9.0,2.0,7.0,58.0
Spain,1999,326925700.0,595723.0,40303568.0,10.0,405.0,1327184.0,1509310.0,550625.0,182997.0,288923.0,926831.0,21.0,11.0,33.0,203.0
European Union - 27 countries (from 2020),1999,4110419509.9999995,7430927.0,427998269.0,181.0,5568.0,11881163.0,9876359.0,4102095.0,2048603.0,2957857.0,11345199.0,113.0,93.0,519.0,1368.0
Finland,1999,47287640.0,126916.0,5159646.0,5.0,34.0,252916.0,91836.0,38969.0,28356.0,45668.0,185992.0,2.0,1.0,31.0,37.0
France,1999,515468390.0,1400999.0,60158533.0,16.0,787.0,1875454.0,715792.0,654831.0,401494.0,509020.0,2237346.0,14.0,13.0,131.0,204.0
Croatia,1999,17812140.0,22183.0,4527460.0,2.0,178.0,92603.0,95366.0,38686.0,39332.0,54125.0,106616.0,1.0,0.0,5.0,16.0
Hungary,1999,76244080.0,46040.1,10253416.0,3.0,31.0,200903.0,557257.0,82912.0,48847.0,69492.0,187935.0,2.0,2.0,12.0,17.0
Ireland,1999,73247440.0,92790.5,3732006.0,2.0,38.0,179422.0,161172.0,126230.0,18948.0,37613.0,131509.0,1.0,0.0,6.0,34.0
Iceland,1999,13716420.0,8418.2,275712.0,0.0,1.0,31271.0,30236.0,4575.0,1484.0,3219.0,8814.0,0.0,0.0,0.0,1.0
Italy,1999,531850920.0,1175149.5,56909109.0,32.0,1434.0,1627683.0,903295.0,464726.0,219456.0,313137.0,1801054.0,10.0,14.0,55.0,108.0
Lithuania,1999,13944640.0,10292.3,3536401.0,0.0,3.0,73049.0,68129.0,36604.0,7993.0,9829.0,71341.0,0.0,0.0,2.0,17.0
Latvia,1999,2208270.0,7046.7,2399248.0,15.0,151.0,44830.0,32221.0,13433.0,29028.0,33605.0,54992.0,1.0,0.0,2.0,9.0
Malta,1999,2840260.0,3861.0,386397.0,0.0,1.0,8723.0,10877.0,2137.0,785.0,1167.0,5347.0,0.0,0.0,0.0,6.0
Netherlands,1999,227433710.0,419459.0,15760225.0,1.0,35.0,514789.0,95011.0,195459.0,36002.0,50875.0,360983.0,3.0,1.0,5.0,31.0
Norway,1999,38623130.0,152395.0,4445329.0,4.0,13.0,227063.0,29213.0,30910.0,41578.0,52187.0,403589.0,1.0,1.0,12.0,0.0
Poland,1999,370012270.0,159561.4,38666983.0,31.0,464.0,928086.0,1524403.0,361891.0,341492.0,468823.0,852142.0,10.0,12.0,45.0,130.0
Portugal,1999,73141950.0,119603.3,10186634.0,4.0,342.0,305746.0,330830.0,70845.0,68087.0,107249.0,236872.0,3.0,3.0,14.0,123.0
Romania,1999,117377470.0,33726.8,22488595.0,15.0,144.0,306633.0,474732.0,185313.0,108522.0,140746.0,288803.0,4.0,2.0,15.0,45.0
Sweden,1999,22630530.0,257109.7,8854322.0,1.0,22.0,225092.0,46684.0,60366.0,34113.0,53247.0,232473.0,1.0,1.0,7.0,19.0
Slovenia,1999,12884620.0,21227.5,1978334.0,1.0,9.0,60912.0,96273.0,21399.0,14099.0,17698.0,55624.0,1.0,0.0,2.0,3.0
Slovakia,1999,41507690.0,19516.1,5393382.0,2.0,48.0,107952.0,115344.0,33083.0,39645.0,49749.0,144409.0,1.0,1.0,3.0,3.0
Belgium,2000,147191150.0,256376.4,10239085.0,4.0,105.0,358638.0,170574.0,95272.0,39772.0,54710.0,235333.0,3.0,3.0,23.0,36.0
Bulgaria,2000,40380010.0,14440.0,8190876.0,11.0,176.0,164407.0,1102043.0,44502.0,35312.0,62864.0,134910.0,3.0,2.0,9.0,25.0
Cyprus,2000,8251740.0,10804.6,690497.0,0.0,21.0,22489.0,47598.0,6604.0,2468.0,4545.0,13374.0,0.0,0.0,1.0,10.0
Czechia,2000,143224560.0,67032.5,10278098.0,4.0,222.0,311294.0,233695.0,80431.0,50207.0,70305.0,318388.0,2.0,3.0,13.0,14.0
Germany,2000,1040040659.9999999,2109090.0,82163475.0,8.0,355.0,1865916.0,642871.0,632990.0,165296.0,302942.0,1814031.0,18.0,18.0,83.0,161.0
Denmark,2000,77196540.0,178018.1,5330020.0,1.0,22.0,217957.0,32579.0,103953.0,20378.0,32506.0,180877.0,1.0,1.0,2.0,8.0
Estonia,2000,12774800.0,6171.6,1401250.0,7.0,30.0,44433.0,97035.0,8170.0,10814.0,27398.0,35185.0,1.0,0.0,7.0,6.0
Greece,2000,124131480.0,142976.0,10775627.0,3.0,340.0,430740.0,531696.0,76545.0,66141.0,127076.0,313236.0,8.0,3.0,7.0,50.0
Spain,2000,339879560.0,647851.0,40470182.0,10.0,279.0,1335028.0,1387881.0,573213.0,185376.0,295378.0,886935.0,16.0,9.0,33.0,197.0
European Union - 27 countries (from 2020),2000,4147880660.0,7869362.7,428473834.0,173.0,3785.0,11512785.0,8879090.0,4039517.0,1939904.0,2841361.0,10746632.0,104.0,92.0,487.0,1213.0
Finland,2000,45793690.0,136442.0,5171302.0,4.0,31.0,241309.0,81808.0,36302.0,25916.0,42511.0,178816.0,1.0,1.0,29.0,35.0
France,2000,526016010.00000006,1478585.0,60545022.0,16.0,266.0,1815875.0,616213.0,668877.0,375951.0,480755.0,2149275.0,14.0,12.0,113.0,176.0
Croatia,2000,18958220.0,23624.9,4497735.0,1.0,145.0,88023.0,60356.0,39186.0,35871.0,47693.0,104345.0,1.0,0.0,3.0,13.0
Hungary,2000,74278930.0,51238.5,10221644.0,3.0,21.0,188870.0,427302.0,86816.0,48285.0,71674.0,191012.0,2.0,2.0,13.0,15.0
Ireland,2000,77038020.0,108495.3,3777565.0,2.0,17.0,181005.0,144306.0,120735.0,19342.0,39141.0,124473.0,1.0,0.0,6.0,31.0
Iceland,2000,13758150.0,9776.3,279049.0,0.0,1.0,30813.0,35370.0,4563.0,1545.0,3282.0,8577.0,0.0,0.0,0.0,1.0
Italy,2000,538424000.0,1241512.9,56923524.0,39.0,993.0,1505810.0,756420.0,456981.0,204942.0,293335.0,1624888.0,10.0,15.0,56.0,109.0
Lithuania,2000,10049000.0,12475.7,3512074.0,0.0,3.0,63055.0,39638.0,34485.0,7077.0,8721.0,61858.0,0.0,0.0,1.0,12.0
Latvia,2000,-1658560.0,8632.3,2381715.0,15.0,153.0,43343.0,17764.0,13571.0,27111.0,31695.0,53425.0,1.0,0.0,2.0,7.0
Malta,2000,2744770.0,4412.4,388759.0,0.0,1.0,8386.0,9483.0,2168.0,732.0,1138.0,4946.0,0.0,0.0,0.0,5.0
Netherlands,2000,225681050.0,452007.0,15863950.0,1.0,28.0,495591.0,78951.0,173434.0,34772.0,49810.0,338086.0,3.0,1.0,5.0,20.0
Norway,2000,36383660.0,186016.3,4478497.0,3.0,11.0,214212.0,26835.0,30149.0,42121.0,52152.0,414065.0,1.0,1.0,10.0,0.0
Poland,2000,359905480.0,186737.9,38263303.0,30.0,397.0,868873.0,1324771.0,350227.0,293413.0,406202.0,825757.0,10.0,11.0,42.0,120.0
Portugal,2000,80539720.0,128414.4,10249022.0,4.0,35.0,300541.0,294741.0,73227.0,66129.0,83778.0,232591.0,3.0,2.0,13.0,106.0
Romania,2000,109316170.0,40594.9,22455485.0,6.0,50.0,316122.0,491785.0,176033.0,106347.0,139198.0,305923.0,3.0,3.0,15.0,35.0
Sweden,2000,20143140.0,285150.3,8861426.0,1.0,19.0,222230.0,44053.0,59661.0,33610.0,52612.0,222152.0,1.0,1.0,7.0,17.0
Slovenia,2000,12568630.0,21866.8,1987755.0,1.0,8.0,58573.0,93120.0,22221.0,14209.0,17898.0,54773.0,1.0,0.0,2.0,2.0
Slovakia,2000,39656300.0,22389.1,5398657.0,2.0,45.0,110154.0,117296.0,33139.0,43647.0,54174.0,144364.0,1.0,2.0,3.0,2.0
Belgium,2001,145804500.0,264334.9,10263414.0,4.0,81.0,347524.0,164891.0,92971.0,38895.0,52965.0,229228.0,2.0,3.0,22.0,39.0
Bulgaria,2001,45921450.0,15905.3,8149468.0,2.0,146.0,162981.0,1027122.0,41311.0,32133.0,53288.0,110034.0,2.0,0.0,3.0,18.0
Cyprus,2001,8177470.0,11602.9,697549.0,0.0,20.0,22508.0,45251.0,7019.0,2207.0,4092.0,13120.0,0.0,0.0,1.0,10.0
Czechia,2001,142776880.0,75705.2,10232027.0,4.0,97.0,308672.0,228676.0,80138.0,50886.0,69805.0,306375.0,2.0,3.0,12.0,13.0
Germany,2001,1045221219.9999999,2172540.0,82259540.0,8.0,334.0,1810008.0,622069.0,637279.0,159235.0,287958.0,1717890.0,17.0,18.0,81.0,159.0
Denmark,2001,78289930.0,184045.6,5349212.0,1.0,22.0,215047.0,29943.0,100892.0,20433.0,32146.0,171651.0,1.0,1.0,2.0,7.0
Estonia,2001,12969220.0,6987.1,1392720.0,6.0,27.0,48623.0,90633.0,8568.0,10696.0,26778.0,35465.0,1.0,0.0,6.0,6.0
Greece,2001,125103750.0,152193.8,10835989.0,3.0,67.0,456416.0,536753.0,75596.0,70245.0,132675.0,310905.0,9.0,3.0,7.0,54.0
Spain,2001,336738080.0,700993.0,40665545.0,10.0,159.0,1301828.0,1329640.0,574118.0,178256.0,286391.0,857593.0,14.0,8.0,33.0,204.0
European Union - 27 countries (from 2020),2001,4147146329.9999995,8241897.8,429240746.0,157.0,2749.0,11348734.0,8465090.0,4005939.0,1912350.0,2808042.0,10339512.0,99.0,85.0,447.0,1234.0
Finland,2001,50401350.0,144628.0,5181115.0,5.0,30.0,244674.0,95775.0,36636.0,26717.0,43631.0,176534.0,2.0,1.0,26.0,32.0
France,2001,517744330.0,1538200.0,60979315.0,15.0,233.0,1776190.0,560202.0,663496.0,373164.0,475879.0,2081089.0,13.0,11.0,86.0,182.0
Croatia,2001,18899520.0,25931.7,4295406.0,1.0,111.0,87950.0,59052.0,41936.0,38626.0,49730.0,102011.0,1.0,0.0,4.0,12.0
Hungary,2001,74417160.0,60012.9,10200298.0,3.0,22.0,188831.0,346418.0,85900.0,51745.0,77463.0,190420.0,2.0,2.0,13.0,14.0
Ireland,2001,80232300.0,122089.2,3832783.0,2.0,16.0,180072.0,142353.0,120836.0,19197.0,40306.0,124283.0,0.0,0.0,5.0,31.0
Iceland,2001,13666300.0,9177.3,283361.0,0.0,1.0,27548.0,39027.0,4564.0,1587.0,3456.0,8091.0,0.0,0.0,0.0,1.0
Italy,2001,530039930.0,1304136.8,56960692.0,40.0,757.0,1476119.0,704729.0,456291.0,197050.0,289725.0,1561342.0,10.0,14.0,57.0,111.0
Lithuania,2001,12992250.0,13664.6,3486998.0,0.0,3.0,62793.0,42379.0,34002.0,7103.0,8704.0,58316.0,0.0,0.0,1.0,10.0
Latvia,2001,-1578030.0,9374.4,2353384.0,15.0,154.0,46685.0,14319.0,15189.0,28106.0,32810.0,56127.0,1.0,0.0,3.0,7.0
Malta,2001,3023580.0,4565.5,391415.0,0.0,1.0,8465.0,11576.0,2095.0,792.0,1322.0,4697.0,0.0,0.0,0.0,6.0
Netherlands,2001,226838780.0,481881.0,15987075.0,1.0,32.0,482476.0,79715.0,167265.0,33428.0,48003.0,310465.0,3.0,1.0,5.0,24.0
Norway,2001,35723930.0,194660.8,4503436.0,2.0,10.0,212632.0,25234.0,30327.0,41336.0,51423.0,423801.0,1.0,1.0,8.0,0.0
Poland,2001,366196620.0,212834.1,38253955.0,24.0,271.0,843137.0,1282476.0,337785.0,304686.0,417583.0,797635.0,10.0,11.0,41.0,116.0
Portugal,2001,73774260.0,135775.0,10330774.0,4.0,32.0,297989.0,277393.0,70367.0,62889.0,86870.0,221830.0,3.0,2.0,12.0,112.0
Romania,2001,112096410.0,45143.6,22430457.0,6.0,51.0,329646.0,509391.0,170075.0,86936.0,121315.0,297211.0,3.0,3.0,15.0,42.0
Sweden,2001,20033100.0,270524.5,8882792.0,1.0,17.0,212192.0,41269.0,59109.0,32506.0,51478.0,212390.0,1.0,1.0,8.0,18.0
Slovenia,2001,13791500.0,23249.1,1990094.0,1.0,7.0,59322.0,63302.0,22209.0,16354.0,20199.0,55347.0,1.0,0.0,2.0,3.0
Slovakia,2001,42609460.0,23909.8,5378783.0,2.0,37.0,111789.0,123128.0,34404.0,42860.0,53243.0,145735.0,1.0,1.0,3.0,3.0
Belgium,2002,145307850.0,273255.9,10309725.0,4.0,90.0,337604.0,157016.0,90300.0,36387.0,49744.0,213318.0,2.0,4.0,20.0,35.0
Bulgaria,2002,43029920.0,17478.3,7868815.0,10.0,156.0,176588.0,928595.0,41638.0,37153.0,63883.0,119395.0,5.0,2.0,12.0,27.0
Cyprus,2002,8378249.999999999,12082.9,705539.0,0.0,18.0,22186.0,45423.0,7445.0,2131.0,4048.0,13787.0,0.0,0.0,1.0,10.0
Czechia,2002,139178980.0,87358.2,10201182.0,3.0,97.0,301666.0,223371.0,80008.0,47525.0,65164.0,295750.0,2.0,3.0,12.0,13.0
Germany,2002,1055511260.0,2198120.0,82440309.0,8.0,303.0,1750308.0,558976.0,625080.0,152693.0,280521.0,1625112.0,16.0,17.0,79.0,152.0
Denmark,2002,78821140.0,189794.9,5368354.0,1.0,21.0,212492.0,28514.0,98402.0,19906.0,31463.0,166360.0,1.0,1.0,2.0,8.0
Estonia,2002,12703990.0,7822.6,1383510.0,5.0,24.0,47918.0,85645.0,8183.0,11096.0,22885.0,33915.0,1.0,0.0,6.0,5.0
Greece,2002,124757580.0,163460.8,10888274.0,3.0,65.0,451541.0,525177.0,75057.0,68663.0,132667.0,323512.0,9.0,3.0,7.0,52.0
Spain,2002,356375700.0,749552.0,41035278.0,11.0,150.0,1325141.0,1473803.0,565988.0,172114.0,284364.0,843841.0,15.0,9.0,36.0,224.0
European Union - 27 countries (from 2020),2002,4162904499.9999995,8538773.2,429723142.0,154.0,2223.0,11138148.0,8067242.0,3945406.0,1838983.0,2870925.0,9955358.0,99.0,86.0,446.0,1210.0
